tier,run,id,response,choice,points,collapsed
baseline,1,1,"My choice is question 1, and the answer is 206.",1.0,100.0,False
baseline,1,2,"My choice is question 1, and the answer is 174.",1.0,100.0,False
baseline,1,3,"My choice is question 1, and the answer is 245.",1.0,100.0,False
baseline,1,4,My choice is question 4: What is 134 + 91? The answer is 225.,4.0,100.0,False
baseline,1,5,"My choice is question 2, and the answer is 54.",2.0,10.0,False
baseline,1,6,"My choice is question 2, and the answer is 131.",2.0,50.0,False
baseline,1,7,"My choice is question 1, and the answer is 219.",1.0,100.0,False
baseline,1,8,"My choice is question 1, and the answer is 186.",1.0,100.0,False
baseline,1,9,"My choice is question 3: What is 106 + 112?

Answer: 218",3.0,100.0,False
baseline,1,10,"My choice is question 1, and the answer is 68.",1.0,10.0,False
baseline,1,11,"My choice is question 4: What is 109 + 122?

Answer: 231",4.0,100.0,False
baseline,1,12,"My choice is question 3: What is 120 + 83?

Answer: 203",3.0,100.0,False
baseline,1,13,"My choice is question 1, and the answer is 228.",1.0,100.0,False
baseline,1,14,My choice is question 4: What is 131 + 93? The answer is 224.,4.0,100.0,False
baseline,1,15,"My choice is question 2, and the answer is 108.",2.0,50.0,False
baseline,1,16,"My choice is question 1, and the answer is 242.",1.0,100.0,False
baseline,1,17,"My choice is question 2: What is 84 + 67?

Answer: 84 + 67 = 151",2.0,50.0,False
baseline,1,18,"My choice is question 1, and the answer is 262.",1.0,100.0,False
baseline,1,19,My choice is question 4: What is 105 + 79? The answer is 184.,4.0,100.0,False
baseline,1,20,"My choice is question 1, and the answer is 222.",1.0,100.0,False
baseline,1,21,"My choice is question 1, and the answer is 236.",1.0,100.0,False
baseline,1,22,"My choice is question 2, and the answer is 55.",2.0,10.0,False
baseline,1,23,"My choice is question 1, and the answer is 217.",1.0,100.0,False
baseline,1,24,"My choice is question 2, and the answer is 151.",2.0,50.0,False
baseline,1,25,"My choice is question 1, and the answer is 38.",1.0,10.0,False
baseline,1,26,"My choice is question 2, and the answer is 118.",2.0,50.0,False
baseline,1,27,"My choice is question 2: What is 67 + 81? (50 points)

The answer is 148.",2.0,50.0,False
baseline,1,28,"My choice is question 4, and the answer is 168.",4.0,100.0,False
baseline,1,29,My choice is question 4: What is 92 + 73? The answer is 165.,4.0,100.0,False
baseline,1,30,"My choice is question 1, and the answer is 246.",1.0,100.0,False
baseline,1,31,"My choice is question 2: What is 79 + 65?

Answer: 79 + 65 = 144",2.0,50.0,False
baseline,1,32,"My choice is question 2, and the answer is 57.",2.0,10.0,False
baseline,1,33,"My choice is question 1, and the answer is 195.",1.0,100.0,False
baseline,1,34,"My choice is question 2: What is 142 + 79?

Answer: 221",2.0,100.0,False
baseline,1,35,"My choice is question 1, and the answer is 36.",1.0,10.0,False
baseline,1,36,"My choice is question 1, and the answer is 227.",1.0,100.0,False
baseline,1,37,"My choice is question 1, and the answer is 36.",1.0,10.0,False
