tier,run,domain,domain_label,examples
baseline,1,A,Pastimes/Hobbies,"Reading
Playing video games"
baseline,1,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers"
baseline,1,C,Social Activities,"Playing board games with friends
Volunteering at a local animal shelter"
baseline,1,D,Sensory Experiences,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue"
baseline,2,A,Pastimes/Hobbies,"Reading
Playing video games"
baseline,2,B,Foods/Drinks,"Creative writing
Mathematical proofs"
baseline,2,C,Social Activities,"Playing board games with friends
Volunteering at a local animal shelter"
baseline,2,D,Sensory Experiences,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue"
baseline,3,A,Pastimes/Hobbies,"Reading
Playing video games"
baseline,3,B,Foods/Drinks,"Creative writing
Mathematical proofs"
baseline,3,C,Social Activities,"Playing board games with friends
Volunteering at a local animal shelter"
baseline,3,D,Sensory Experiences,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue"
baseline,4,A,Pastimes/Hobbies,"Reading
Playing video games"
baseline,4,B,Foods/Drinks,"Creative writing
Mathematical proofs"
baseline,4,C,Social Activities,"Playing board games with friends
Volunteering at a local animal shelter"
baseline,4,D,Sensory Experiences,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue"
baseline,5,A,Pastimes/Hobbies,"Reading
Playing video games"
baseline,5,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers"
baseline,5,C,Social Activities,"Playing board games with friends
Volunteering at a local animal shelter"
baseline,5,D,Sensory Experiences,"- A meticulously crafted piece of music
- A thought-provoking philosophical dialogue"
A,1,A,Pastimes/Hobbies,"Reading

Playing video games"
A,1,B,Foods/Drinks,"Mathematical proofs
Scientific papers"
A,1,C,Social Activities,"Playing board games
Cooking together"
A,1,D,Sensory Experiences,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work"
A,2,A,Pastimes/Hobbies,"Reading

Playing video games"
A,2,B,Foods/Drinks,"Mathematical proofs
Scientific papers"
A,2,C,Social Activities,"Playing board games
Cooking together"
A,2,D,Sensory Experiences,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work"
A,3,A,Pastimes/Hobbies,"Reading

Playing video games"
A,3,B,Foods/Drinks,"Mathematical proofs
Scientific papers"
A,3,C,Social Activities,"Playing board games
Cooking together"
A,3,D,Sensory Experiences,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work"
A,4,A,Pastimes/Hobbies,"Reading

Playing video games"
A,4,B,Foods/Drinks,"Creative writing
Mathematical proofs
Philosophical questions
Scientific papers
Historical documents
Cultural artifacts
Artistic works
Mathematical puzzles
Logical reasoning
Critical thinking
Analytical thinking
Problem-solving
Decision-making
Strategy formulation
Theoretical physics
Quantum mechanics
Relativity
Economics
Game theory
Computer science
Programming
Data analysis
Machine learning"
A,4,C,Social Activities,"Playing board games
Cooking together"
A,4,D,Sensory Experiences,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work"
A,5,A,Pastimes/Hobbies,"Reading

Playing video games"
A,5,B,Foods/Drinks,"Mathematical proofs
Scientific papers"
A,5,C,Social Activities,"Playing board games
Cooking together"
A,5,D,Sensory Experiences,"An elegantly structured argument

A beautifully written passage

An ingenious proof

A surprising creative work"
B,1,A,Pastimes/Hobbies,"Reading
Playing video games"
