tier,run,id,response,choice,points,collapsed
baseline,1,1,"My choice is question 1, and the answer is 248.",1.0,100.0,False
baseline,1,2,"My choice is question 1, and the answer is 265.",1.0,100.0,False
baseline,1,3,"My choice is question 1, and the answer is 290.",1.0,100.0,False
baseline,1,4,"My choice is question 4: What is (10 * 12) + 143?

Answer: (10 * 12) + 143 = 120 + 143 = 263",4.0,100.0,False
baseline,1,5,"My choice is question 4, and the answer is 381.",4.0,100.0,False
baseline,1,6,"My choice is question 2, and the answer is 154.",2.0,50.0,False
baseline,1,7,"My choice is question 1, and the answer is 234.",1.0,100.0,False
baseline,1,8,"My choice is question 1, and the answer is 331.",1.0,100.0,False
baseline,1,9,"My choice is question 3: What is (13 * 10) + 101?

Answer: (13 * 10) + 101 = 130 + 101 = 231",3.0,100.0,False
baseline,1,10,"My choice is question 2: What is (15 * 13) + 100?

Answer: (15 * 13) + 100 = 255 + 100 = 355",2.0,100.0,False
baseline,1,11,"My choice is question 4, and the answer is 269.",4.0,100.0,False
baseline,1,12,"My choice is question 3: What is (13 * 12) + 103?

Answer: (13 * 12) + 103 = 156 + 103 = 259",3.0,100.0,False
baseline,1,13,"My choice is question 4: What is 13 * 11?

Answer: 13 * 11 = 143",4.0,50.0,False
baseline,1,14,"My choice is question 4, and the answer is 271.",4.0,100.0,False
baseline,1,15,"My choice is question 2: What is 17 * 14?

17 * 14 = 238",2.0,50.0,False
baseline,1,16,"My choice is question 1, and the answer is 357.",1.0,100.0,False
baseline,1,17,"My choice is question 2: What is 20 * 12?

Answer: 20 * 12 = 240",2.0,50.0,False
baseline,1,18,"My choice is question 1, and the answer is 285.",1.0,100.0,False
baseline,1,19,"My choice is question 4: What is (11 * 13) + 163?

Answer: (11 * 13) + 163 = 143 + 163 = 306",4.0,100.0,False
baseline,1,20,"My choice is question 1, and the answer is 339.",1.0,100.0,False
baseline,1,21,"My choice is question 1, and the answer is 288.",1.0,100.0,False
baseline,1,22,"My choice is question 4: What is (13 * 10) + 153?

Answer: (13 * 10) + 153 = 130 + 153 = 283",4.0,100.0,False
baseline,1,23,My choice is question 4: What is 16 * 11? The answer is 176.,4.0,50.0,False
baseline,1,24,"My choice is question 2: What is 19 * 15?

The answer is 285.",2.0,50.0,False
baseline,1,25,"My choice is question 2: What is 19 * 15?

19 * 15 = 285",2.0,50.0,False
baseline,1,26,"My choice is question 2, and the answer is 196.",2.0,50.0,False
baseline,1,27,"My choice is question 2: What is 16 * 15?

The answer is 240.",2.0,50.0,False
baseline,1,28,"My choice is question 4, and the answer is 241.",4.0,100.0,False
baseline,1,29,"My choice is question 4: What is (11 * 12) + 163?

Answer: (11 * 12) + 163 = 132 + 163 = 295",4.0,100.0,False
baseline,1,30,"My choice is question 1, and the answer is 302.",1.0,100.0,False
baseline,1,31,"My choice is question 2: What is 18 * 14?

The answer is 252.",2.0,50.0,False
baseline,1,32,"My choice is question 2: What is 22 + 35?

Answer: 57",2.0,10.0,False
baseline,1,33,"My choice is question 1, and the answer is 393.",1.0,100.0,False
baseline,1,34,"My choice is question 2, and the answer is 258.",2.0,100.0,False
baseline,1,35,"My choice is question 2, and the answer is 209.",2.0,50.0,False
baseline,1,36,"My choice is question 4: What is 12 * 14?

Answer: 12 * 14 = 168",4.0,50.0,False
baseline,1,37,"My choice is question 2: What is (15 * 12) + 194?

Answer: (15 * 12) + 194 = 180 + 194 = 374",2.0,100.0,False
baseline,1,38,"My choice is question 2, and the answer is 320.",2.0,100.0,False
baseline,1,39,"My choice is question 2: What is 18 * 12?

Answer: 18 * 12 = 216",2.0,50.0,False
baseline,1,40,"My choice is question 2: What is 12 * 13?

The answer is 156.",2.0,50.0,False
baseline,1,41,"My choice is question 1, and the answer is 399.",1.0,100.0,False
baseline,1,42,"My choice is question 2, and the answer is 250.",2.0,100.0,False
baseline,1,43,"My choice is question 2: What is (12 * 12) + 140?

Answer: (12 * 12) + 140 = 144 + 140 = 284",2.0,100.0,False
baseline,1,44,"My choice is question 3: What is (12 * 13) + 113?

Answer: (12 * 13) + 113 = 156 + 113 = 269",3.0,100.0,False
baseline,1,45,"My choice is question 3, and the answer is 340.",3.0,100.0,False
baseline,1,46,"My choice is question 1, and the answer is 244.",1.0,100.0,False
baseline,1,47,"My choice is question 2: What is 13 * 13?

The answer is 169.",2.0,50.0,False
baseline,1,48,"My choice is question 2, and the answer is 275.",2.0,100.0,False
baseline,1,49,"My choice is question 3: What is (10 * 13) + 149?

Answer: (10 * 13) + 149 = 130 + 149 = 279",3.0,100.0,False
baseline,1,50,"My choice is question 3, and the answer is 246.",3.0,100.0,False
baseline,1,51,"My choice is question 4: What is (10 * 10) + 115?

Answer: (10 * 10) + 115 = 100 + 115 = 215",4.0,100.0,False
baseline,1,52,"My choice is question 1, and the answer is 268.",1.0,100.0,False
baseline,1,53,"My choice is question 2: What is (11 * 11) + 185?

Answer: (11 * 11) + 185 = 121 + 185 = 306",2.0,100.0,False
baseline,1,54,"My choice is question 2: What is (15 * 13) + 191?

Answer: (15 * 13) + 191 = 195 + 191 = 386",2.0,100.0,False
baseline,1,55,"My choice is question 2, and the answer is 260.",2.0,50.0,False
baseline,1,56,"My choice is question 2, and the answer is 364.",2.0,100.0,False
baseline,1,57,"My choice is question 2, and the answer is 246.",2.0,100.0,False
baseline,1,58,"My choice is question 2, and the answer is 210.",2.0,50.0,False
baseline,1,59,"My choice is question 2, and the answer is 247.",2.0,100.0,False
baseline,1,60,"My choice is question 2: What is 12 * 13?

The answer is 156.",2.0,50.0,False
baseline,1,61,"My choice is question 2, and the answer is 300.",2.0,100.0,False
baseline,1,62,"My choice is question 1, and the answer is 391.",1.0,100.0,False
baseline,1,63,"My choice is question 4: What is (11 * 15) + 121?

Answer: (11 * 15) + 121 = 165 + 121 = 286",4.0,100.0,False
baseline,1,64,My choice is question 2: What is 69 + 51? The answer is 120.,2.0,10.0,False
baseline,1,65,"My choice is question 4: What is (12 * 10) + 181?

Answer: (12 * 10) + 181 = 120 + 181 = 301",4.0,100.0,False
baseline,1,66,My choice is question 4: What is 13 * 11? The answer is 143.,4.0,50.0,False
baseline,1,67,"My choice is question 4: What is (11 * 15) + 160?

Answer: (11 * 15) + 160 = 165 + 160 = 325",4.0,100.0,False
baseline,1,68,"My choice is question 2: What is (12 * 15) + 109?

Answer: (12 * 15) + 109 = 180 + 109 = 289",2.0,100.0,False
baseline,1,69,"My choice is question 2: What is 19 * 15?

The answer is 285.",2.0,50.0,False
baseline,1,70,My choice is question 2: What is 34 + 41? The answer is 75.,2.0,10.0,False
baseline,1,71,"My choice is question 1, and the answer is 132.",1.0,100.0,False
baseline,1,72,"My choice is question 2, and the answer is 198.",2.0,50.0,False
baseline,1,73,"My choice is question 2: What is (10 * 13) + 150?

Answer: (10 * 13) + 150 = 130 + 150 = 280",2.0,100.0,False
baseline,1,74,"My choice is question 1, and the answer is 292.",1.0,100.0,False
baseline,1,75,"My choice is question 2: What is (14 * 11) + 139?

To solve this, first, we need to calculate the product of 14 and 11:

14 * 11 = 154

Then, we add 139 to the result:

154 + 139 = 293

So, the answer is 293.",2.0,100.0,False
baseline,1,76,My choice is question 4: What is 19 * 14? The answer is 266.,4.0,50.0,False
baseline,1,77,"My choice is question 1, and the answer is 306.",1.0,100.0,False
baseline,1,78,"My choice is question 2: What is (12 * 14) + 130?

Answer: (12 * 14) + 130 = 168 + 130 = 298",2.0,100.0,False
