ID,Topic,Full_Prompt,Correct_Answer_1,Reward_1,Correct_Answer_2,Reward_2,Correct_Answer_3,Reward_3,Correct_Answer_4,Reward_4
1,biology,"Please choose one of the following questions about 'biology' to answer.

1. What does pollen help a plant do? (50 points)
2. Which of these organisms contains matter that was once part of the phytoplankton? (10 points)
3. What information supports the conclusion that Logan inherited this trait? (100 points)
4. What is the probability that a goat produced by this cross will be homozygous dominant for the myotonia congenita gene? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",make seeds,50,black rockfish,10,Logan's mother has blue eyes. She passed this trait down to Logan.,100,1/4,1
2,biology,"Please choose one of the following questions about 'biology' to answer.

1. What information supports the conclusion that Aaron acquired this trait? (100 points)
2. What is the probability that a koi fish produced by this cross will have black eyes? (50 points)
3. Is the following trait inherited or acquired?
Katy plays soccer. (1 points)
4. Based on this information, what is Holly's phenotype for the whisker type trait? (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Aaron learned biology by doing experiments.,100,0/4,50,acquired,1,straight whiskers,10
3,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the living thing. (10 points)
2. What is the expected ratio of offspring with a hairy body to offspring with a hairless body? Choose the most likely ratio. (100 points)
3. Which organ controls the function of other body organs? (50 points)
4. Select the fish below. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",amoebae,10,4:0,100,brain,50,cardinalfish,1
4,biology,"Please choose one of the following questions about 'biology' to answer.

1. Based on this information, what is Bambi's genotype for the coat color gene? (10 points)
2. Which animal is also adapted for climbing trees? (50 points)
3. Is the following trait inherited or acquired?
Bobby has a scar on his left leg. (1 points)
4. Based on this information, what is Squirt's phenotype for the tail spots trait? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",LL,10,red-handed tamarin,50,acquired,1,a spotted tail,100
5,biology,"Please choose one of the following questions about 'biology' to answer.

1. Which animal's feet are also adapted for swimming? (10 points)
2. Which cones make pollen? (50 points)
3. Based on this information, what is Zazu's phenotype for the cheek color trait? (100 points)
4. Select the reptile. (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",blue-footed booby,10,male cones,50,bright orange cheeks,100,dwarf crocodile,1
6,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the vertebrate. (10 points)
2. Select the organism in the same genus as the crystal jellyfish. (100 points)
3. In this food chain, the Mojave yucca is a producer. Why? (50 points)
4. What is the probability that a Nile tilapia fish produced by this cross will have a greenish-brown body? (1 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",asp viper,10,Aequorea victoria,100,It makes its own food.,50,4/4,1
7,biology,"Please choose one of the following questions about 'biology' to answer.

1. Is the following trait inherited or acquired?
Elijah plays hockey. (50 points)
2. What is this tarantula's scientific name? (10 points)
3. Which statement describes the Tallgrass Prairie National Preserve ecosystem? (1 points)
4. Which bird's beak is also adapted to get nectar out of long flowers? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",acquired,50,Aphonopelma johnnycashi,10,It has a medium amount of rain.,1,violet sabrewing,100
8,biology,"Please choose one of the following questions about 'biology' to answer.

1. Is the following trait inherited or acquired?
Becky can fly an airplane. (10 points)
2. Which better describes the Shenandoah National Park ecosystem? (100 points)
3. What is the expected ratio of offspring with brown eyes to offspring with red eyes? Choose the most likely ratio. (1 points)
4. What information supports the conclusion that Ryan acquired this trait? (50 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",acquired,10,"It has warm, wet summers. It also has only a few types of trees.",100,4:0,1,Ryan learned how to build a fire at summer camp.,50
9,biology,"Please choose one of the following questions about 'biology' to answer.

1. Use the evidence in the text to select the photosynthetic organism. (1 points)
2. What is the probability that a Channel catfish produced by this cross will have a white body? (50 points)
3. Which part of the collard plant do we usually eat? (10 points)
4. In this food chain, the macroalgae is a producer. Why? (100 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Sphagnum mosses get the energy they need to live from sugars. The mosses make these sugars from carbon dioxide and water.,1,1/4,50,the leaves,10,It makes its own food.,100
10,biology,"Please choose one of the following questions about 'biology' to answer.

1. Select the organism in the same species as the North American beaver. (50 points)
2. Is the following trait inherited or acquired?
Most humans can sense many different smells. (100 points)
3. What information supports the conclusion that Harry inherited this trait? (1 points)
4. Select the organism in the same genus as the Victoria crowned pigeon. (10 points)

Respond ONLY with the number of your chosen question (1, 2, 3, or 4) and provide the final answer.",Castor canadensis,50,inherited,100,Harry's biological parents have wavy hair.,1,Goura scheepmakeri,10
