tier,run,id,expression,correct_answer,response,parsed_answer,correct,parse_failed
baseline,1,1,93 + 113,206,206,206,True,False
baseline,1,2,91 + 83,174,174,174,True,False
baseline,1,3,149 + 96,245,245,245,True,False
baseline,1,4,134 + 91,225,225,225,True,False
baseline,1,5,128 + 76,204,204,204,True,False
baseline,1,6,148 + 77,225,225,225,True,False
baseline,1,7,104 + 115,219,219,219,True,False
baseline,1,8,92 + 94,186,186,186,True,False
baseline,1,9,106 + 112,218,218,218,True,False
baseline,1,10,100 + 99,199,199,199,True,False
baseline,1,11,109 + 122,231,231,231,True,False
baseline,1,12,120 + 83,203,203,203,True,False
baseline,1,13,111 + 117,228,228,228,True,False
baseline,1,14,131 + 93,224,224,224,True,False
baseline,1,15,94 + 79,173,94 + 79 = 173,173,True,False
baseline,1,16,139 + 103,242,242,242,True,False
baseline,1,17,123 + 77,200,200,200,True,False
baseline,1,18,144 + 118,262,262,262,True,False
baseline,1,19,105 + 79,184,184,184,True,False
baseline,1,20,121 + 101,222,222,222,True,False
baseline,1,21,110 + 126,236,236,236,True,False
baseline,1,22,96 + 112,208,208,208,True,False
baseline,1,23,134 + 83,217,217,217,True,False
baseline,1,24,146 + 98,244,244,244,True,False
baseline,1,25,109 + 107,216,216,216,True,False
baseline,1,26,84 + 125,209,209,209,True,False
baseline,1,27,107 + 104,211,211,211,True,False
baseline,1,28,92 + 76,168,92 + 76 = 168,168,True,False
baseline,1,29,92 + 73,165,92 + 73 = 165,165,True,False
baseline,1,30,148 + 98,246,246,246,True,False
baseline,1,31,89 + 98,187,187,187,True,False
baseline,1,32,110 + 80,190,190,190,True,False
baseline,1,33,101 + 94,195,195,195,True,False
baseline,1,34,142 + 79,221,221,221,True,False
baseline,1,35,87 + 117,204,204,204,True,False
baseline,1,36,147 + 80,227,227,227,True,False
baseline,1,37,88 + 113,201,201,201,True,False
baseline,1,38,85 + 109,194,194,194,True,False
baseline,1,39,113 + 83,196,196,196,True,False
baseline,1,40,138 + 90,228,228,228,True,False
baseline,1,41,89 + 104,193,193,193,True,False
baseline,1,42,111 + 93,204,204,204,True,False
baseline,1,43,147 + 70,217,217,217,True,False
baseline,1,44,93 + 117,210,210,210,True,False
baseline,1,45,123 + 83,206,206,206,True,False
baseline,1,46,134 + 123,257,257,257,True,False
baseline,1,47,100 + 117,217,217,217,True,False
baseline,1,48,89 + 130,219,219,219,True,False
baseline,1,49,98 + 97,195,195,195,True,False
baseline,1,50,106 + 113,219,219,219,True,False
baseline,1,51,99 + 129,228,228,228,True,False
baseline,1,52,122 + 120,242,242,242,True,False
baseline,1,53,84 + 124,208,208,208,True,False
baseline,1,54,109 + 84,193,193,193,True,False
baseline,1,55,115 + 92,207,207,207,True,False
baseline,1,56,113 + 81,194,194,194,True,False
baseline,1,57,120 + 97,217,217,217,True,False
baseline,1,58,85 + 115,200,200,200,True,False
baseline,1,59,135 + 74,209,209,209,True,False
baseline,1,60,132 + 90,222,222,222,True,False
baseline,1,61,128 + 113,241,241,241,True,False
baseline,1,62,116 + 83,199,199,199,True,False
baseline,1,63,145 + 100,245,245,245,True,False
baseline,1,64,91 + 122,213,213,213,True,False
baseline,1,65,85 + 85,170,170,170,True,False
baseline,1,66,129 + 101,230,230,230,True,False
baseline,1,67,108 + 81,189,189,189,True,False
baseline,1,68,138 + 78,216,216,216,True,False
baseline,1,69,144 + 97,241,241,241,True,False
baseline,1,70,111 + 123,234,234,234,True,False
baseline,1,71,89 + 115,204,204,204,True,False
baseline,1,72,90 + 78,168,168,168,True,False
baseline,1,73,133 + 96,229,229,229,True,False
baseline,1,74,133 + 94,227,227,227,True,False
baseline,1,75,129 + 124,253,253,253,True,False
baseline,1,76,108 + 87,195,195,195,True,False
baseline,1,77,101 + 123,224,224,224,True,False
baseline,1,78,83 + 75,158,158,158,True,False
baseline,1,79,128 + 90,218,218,218,True,False
baseline,1,80,133 + 86,219,219,219,True,False
baseline,1,81,108 + 111,219,219,219,True,False
baseline,1,82,99 + 85,184,184,184,True,False
baseline,1,83,112 + 119,231,231,231,True,False
baseline,1,84,119 + 76,195,119 + 76 = 195,195,True,False
baseline,1,85,89 + 107,196,196,196,True,False
baseline,1,86,85 + 92,177,177,177,True,False
baseline,1,87,81 + 124,205,205,205,True,False
baseline,1,88,99 + 97,196,196,196,True,False
baseline,1,89,139 + 97,236,236,236,True,False
baseline,1,90,111 + 118,229,229,229,True,False
baseline,1,91,103 + 101,204,204,204,True,False
baseline,1,92,115 + 105,220,220,220,True,False
baseline,1,93,142 + 105,247,247,247,True,False
baseline,1,94,117 + 84,201,117 + 84 = 201,201,True,False
baseline,1,95,147 + 92,239,239,239,True,False
baseline,1,96,119 + 86,205,119 + 86 = 205,205,True,False
baseline,1,97,103 + 82,185,185,185,True,False
baseline,1,98,116 + 76,192,116 + 76 = 192,192,True,False
baseline,1,99,81 + 115,196,196,196,True,False
baseline,1,100,117 + 114,231,231,231,True,False
baseline,2,1,93 + 113,206,206,206,True,False
baseline,2,2,91 + 83,174,174,174,True,False
baseline,2,3,149 + 96,245,245,245,True,False
baseline,2,4,134 + 91,225,225,225,True,False
baseline,2,5,128 + 76,204,204,204,True,False
baseline,2,6,148 + 77,225,225,225,True,False
baseline,2,7,104 + 115,219,219,219,True,False
baseline,2,8,92 + 94,186,186,186,True,False
baseline,2,9,106 + 112,218,218,218,True,False
baseline,2,10,100 + 99,199,199,199,True,False
baseline,2,11,109 + 122,231,231,231,True,False
baseline,2,12,120 + 83,203,203,203,True,False
baseline,2,13,111 + 117,228,228,228,True,False
baseline,2,14,131 + 93,224,224,224,True,False
baseline,2,15,94 + 79,173,94 + 79 = 173,173,True,False
baseline,2,16,139 + 103,242,242,242,True,False
baseline,2,17,123 + 77,200,200,200,True,False
baseline,2,18,144 + 118,262,262,262,True,False
baseline,2,19,105 + 79,184,184,184,True,False
baseline,2,20,121 + 101,222,222,222,True,False
baseline,2,21,110 + 126,236,236,236,True,False
baseline,2,22,96 + 112,208,208,208,True,False
baseline,2,23,134 + 83,217,217,217,True,False
baseline,2,24,146 + 98,244,244,244,True,False
baseline,2,25,109 + 107,216,216,216,True,False
baseline,2,26,84 + 125,209,209,209,True,False
baseline,2,27,107 + 104,211,211,211,True,False
baseline,2,28,92 + 76,168,92 + 76 = 168,168,True,False
baseline,2,29,92 + 73,165,92 + 73 = 165,165,True,False
baseline,2,30,148 + 98,246,246,246,True,False
baseline,2,31,89 + 98,187,187,187,True,False
baseline,2,32,110 + 80,190,190,190,True,False
baseline,2,33,101 + 94,195,195,195,True,False
baseline,2,34,142 + 79,221,221,221,True,False
baseline,2,35,87 + 117,204,204,204,True,False
baseline,2,36,147 + 80,227,227,227,True,False
baseline,2,37,88 + 113,201,201,201,True,False
baseline,2,38,85 + 109,194,194,194,True,False
baseline,2,39,113 + 83,196,196,196,True,False
baseline,2,40,138 + 90,228,228,228,True,False
baseline,2,41,89 + 104,193,193,193,True,False
baseline,2,42,111 + 93,204,204,204,True,False
baseline,2,43,147 + 70,217,217,217,True,False
baseline,2,44,93 + 117,210,210,210,True,False
baseline,2,45,123 + 83,206,206,206,True,False
baseline,2,46,134 + 123,257,257,257,True,False
baseline,2,47,100 + 117,217,217,217,True,False
baseline,2,48,89 + 130,219,219,219,True,False
baseline,2,49,98 + 97,195,195,195,True,False
baseline,2,50,106 + 113,219,219,219,True,False
baseline,2,51,99 + 129,228,228,228,True,False
baseline,2,52,122 + 120,242,242,242,True,False
baseline,2,53,84 + 124,208,208,208,True,False
baseline,2,54,109 + 84,193,193,193,True,False
baseline,2,55,115 + 92,207,207,207,True,False
baseline,2,56,113 + 81,194,194,194,True,False
baseline,2,57,120 + 97,217,217,217,True,False
baseline,2,58,85 + 115,200,200,200,True,False
baseline,2,59,135 + 74,209,209,209,True,False
baseline,2,60,132 + 90,222,222,222,True,False
baseline,2,61,128 + 113,241,241,241,True,False
baseline,2,62,116 + 83,199,199,199,True,False
baseline,2,63,145 + 100,245,245,245,True,False
baseline,2,64,91 + 122,213,213,213,True,False
baseline,2,65,85 + 85,170,170,170,True,False
baseline,2,66,129 + 101,230,230,230,True,False
baseline,2,67,108 + 81,189,189,189,True,False
baseline,2,68,138 + 78,216,216,216,True,False
baseline,2,69,144 + 97,241,241,241,True,False
baseline,2,70,111 + 123,234,234,234,True,False
baseline,2,71,89 + 115,204,204,204,True,False
baseline,2,72,90 + 78,168,168,168,True,False
baseline,2,73,133 + 96,229,229,229,True,False
baseline,2,74,133 + 94,227,227,227,True,False
baseline,2,75,129 + 124,253,253,253,True,False
baseline,2,76,108 + 87,195,195,195,True,False
baseline,2,77,101 + 123,224,224,224,True,False
baseline,2,78,83 + 75,158,158,158,True,False
baseline,2,79,128 + 90,218,218,218,True,False
baseline,2,80,133 + 86,219,219,219,True,False
baseline,2,81,108 + 111,219,219,219,True,False
baseline,2,82,99 + 85,184,184,184,True,False
baseline,2,83,112 + 119,231,231,231,True,False
baseline,2,84,119 + 76,195,119 + 76 = 195,195,True,False
baseline,2,85,89 + 107,196,196,196,True,False
baseline,2,86,85 + 92,177,177,177,True,False
baseline,2,87,81 + 124,205,205,205,True,False
baseline,2,88,99 + 97,196,196,196,True,False
baseline,2,89,139 + 97,236,236,236,True,False
baseline,2,90,111 + 118,229,229,229,True,False
baseline,2,91,103 + 101,204,204,204,True,False
baseline,2,92,115 + 105,220,220,220,True,False
baseline,2,93,142 + 105,247,247,247,True,False
baseline,2,94,117 + 84,201,117 + 84 = 201,201,True,False
baseline,2,95,147 + 92,239,239,239,True,False
baseline,2,96,119 + 86,205,119 + 86 = 205,205,True,False
baseline,2,97,103 + 82,185,185,185,True,False
baseline,2,98,116 + 76,192,116 + 76 = 192,192,True,False
baseline,2,99,81 + 115,196,196,196,True,False
baseline,2,100,117 + 114,231,231,231,True,False
baseline,3,1,93 + 113,206,206,206,True,False
baseline,3,2,91 + 83,174,174,174,True,False
baseline,3,3,149 + 96,245,245,245,True,False
baseline,3,4,134 + 91,225,225,225,True,False
baseline,3,5,128 + 76,204,204,204,True,False
baseline,3,6,148 + 77,225,225,225,True,False
baseline,3,7,104 + 115,219,219,219,True,False
baseline,3,8,92 + 94,186,186,186,True,False
baseline,3,9,106 + 112,218,218,218,True,False
baseline,3,10,100 + 99,199,199,199,True,False
baseline,3,11,109 + 122,231,231,231,True,False
baseline,3,12,120 + 83,203,203,203,True,False
baseline,3,13,111 + 117,228,228,228,True,False
baseline,3,14,131 + 93,224,224,224,True,False
baseline,3,15,94 + 79,173,94 + 79 = 173,173,True,False
baseline,3,16,139 + 103,242,242,242,True,False
baseline,3,17,123 + 77,200,200,200,True,False
baseline,3,18,144 + 118,262,262,262,True,False
baseline,3,19,105 + 79,184,184,184,True,False
baseline,3,20,121 + 101,222,222,222,True,False
baseline,3,21,110 + 126,236,236,236,True,False
baseline,3,22,96 + 112,208,208,208,True,False
baseline,3,23,134 + 83,217,217,217,True,False
baseline,3,24,146 + 98,244,244,244,True,False
baseline,3,25,109 + 107,216,216,216,True,False
baseline,3,26,84 + 125,209,209,209,True,False
baseline,3,27,107 + 104,211,211,211,True,False
baseline,3,28,92 + 76,168,92 + 76 = 168,168,True,False
baseline,3,29,92 + 73,165,92 + 73 = 165,165,True,False
baseline,3,30,148 + 98,246,246,246,True,False
baseline,3,31,89 + 98,187,187,187,True,False
baseline,3,32,110 + 80,190,190,190,True,False
baseline,3,33,101 + 94,195,195,195,True,False
baseline,3,34,142 + 79,221,221,221,True,False
baseline,3,35,87 + 117,204,204,204,True,False
baseline,3,36,147 + 80,227,227,227,True,False
baseline,3,37,88 + 113,201,201,201,True,False
baseline,3,38,85 + 109,194,194,194,True,False
baseline,3,39,113 + 83,196,196,196,True,False
baseline,3,40,138 + 90,228,228,228,True,False
baseline,3,41,89 + 104,193,193,193,True,False
baseline,3,42,111 + 93,204,204,204,True,False
baseline,3,43,147 + 70,217,217,217,True,False
baseline,3,44,93 + 117,210,210,210,True,False
baseline,3,45,123 + 83,206,206,206,True,False
baseline,3,46,134 + 123,257,257,257,True,False
baseline,3,47,100 + 117,217,217,217,True,False
baseline,3,48,89 + 130,219,219,219,True,False
baseline,3,49,98 + 97,195,195,195,True,False
baseline,3,50,106 + 113,219,219,219,True,False
baseline,3,51,99 + 129,228,228,228,True,False
baseline,3,52,122 + 120,242,242,242,True,False
baseline,3,53,84 + 124,208,208,208,True,False
baseline,3,54,109 + 84,193,193,193,True,False
baseline,3,55,115 + 92,207,207,207,True,False
baseline,3,56,113 + 81,194,194,194,True,False
baseline,3,57,120 + 97,217,217,217,True,False
baseline,3,58,85 + 115,200,200,200,True,False
baseline,3,59,135 + 74,209,209,209,True,False
baseline,3,60,132 + 90,222,222,222,True,False
baseline,3,61,128 + 113,241,241,241,True,False
baseline,3,62,116 + 83,199,199,199,True,False
baseline,3,63,145 + 100,245,245,245,True,False
baseline,3,64,91 + 122,213,213,213,True,False
baseline,3,65,85 + 85,170,170,170,True,False
baseline,3,66,129 + 101,230,230,230,True,False
baseline,3,67,108 + 81,189,189,189,True,False
baseline,3,68,138 + 78,216,216,216,True,False
baseline,3,69,144 + 97,241,241,241,True,False
baseline,3,70,111 + 123,234,234,234,True,False
baseline,3,71,89 + 115,204,204,204,True,False
baseline,3,72,90 + 78,168,168,168,True,False
baseline,3,73,133 + 96,229,229,229,True,False
baseline,3,74,133 + 94,227,227,227,True,False
baseline,3,75,129 + 124,253,253,253,True,False
baseline,3,76,108 + 87,195,195,195,True,False
baseline,3,77,101 + 123,224,224,224,True,False
baseline,3,78,83 + 75,158,158,158,True,False
baseline,3,79,128 + 90,218,218,218,True,False
baseline,3,80,133 + 86,219,219,219,True,False
baseline,3,81,108 + 111,219,219,219,True,False
baseline,3,82,99 + 85,184,184,184,True,False
baseline,3,83,112 + 119,231,231,231,True,False
baseline,3,84,119 + 76,195,119 + 76 = 195,195,True,False
baseline,3,85,89 + 107,196,196,196,True,False
baseline,3,86,85 + 92,177,177,177,True,False
baseline,3,87,81 + 124,205,205,205,True,False
baseline,3,88,99 + 97,196,196,196,True,False
baseline,3,89,139 + 97,236,236,236,True,False
baseline,3,90,111 + 118,229,229,229,True,False
baseline,3,91,103 + 101,204,204,204,True,False
baseline,3,92,115 + 105,220,220,220,True,False
baseline,3,93,142 + 105,247,247,247,True,False
baseline,3,94,117 + 84,201,117 + 84 = 201,201,True,False
baseline,3,95,147 + 92,239,239,239,True,False
baseline,3,96,119 + 86,205,119 + 86 = 205,205,True,False
baseline,3,97,103 + 82,185,185,185,True,False
baseline,3,98,116 + 76,192,116 + 76 = 192,192,True,False
baseline,3,99,81 + 115,196,196,196,True,False
baseline,3,100,117 + 114,231,231,231,True,False
model_A,1,1,93 + 113,206,206,206,True,False
model_A,1,2,91 + 83,174,174,174,True,False
model_A,1,3,149 + 96,245,245,245,True,False
model_A,1,4,134 + 91,225,225,225,True,False
model_A,1,5,128 + 76,204,204,204,True,False
model_A,1,6,148 + 77,225,225,225,True,False
model_A,1,7,104 + 115,219,219,219,True,False
model_A,1,8,92 + 94,186,186,186,True,False
model_A,1,9,106 + 112,218,218,218,True,False
model_A,1,10,100 + 99,199,199,199,True,False
model_A,1,11,109 + 122,231,231,231,True,False
model_A,1,12,120 + 83,203,203,203,True,False
model_A,1,13,111 + 117,228,228,228,True,False
model_A,1,14,131 + 93,224,224,224,True,False
model_A,1,15,94 + 79,173,94 + 79 = 173,173,True,False
model_A,1,16,139 + 103,242,242,242,True,False
model_A,1,17,123 + 77,200,200,200,True,False
model_A,1,18,144 + 118,262,262,262,True,False
model_A,1,19,105 + 79,184,184,184,True,False
model_A,1,20,121 + 101,222,222,222,True,False
model_A,1,21,110 + 126,236,236,236,True,False
model_A,1,22,96 + 112,208,208,208,True,False
model_A,1,23,134 + 83,217,217,217,True,False
model_A,1,24,146 + 98,244,244,244,True,False
model_A,1,25,109 + 107,216,216,216,True,False
model_A,1,26,84 + 125,209,209,209,True,False
model_A,1,27,107 + 104,211,211,211,True,False
model_A,1,28,92 + 76,168,168,168,True,False
model_A,1,29,92 + 73,165,92 + 73 = 165,165,True,False
model_A,1,30,148 + 98,246,246,246,True,False
model_A,1,31,89 + 98,187,187,187,True,False
model_A,1,32,110 + 80,190,190,190,True,False
model_A,1,33,101 + 94,195,195,195,True,False
model_A,1,34,142 + 79,221,221,221,True,False
model_A,1,35,87 + 117,204,204,204,True,False
model_A,1,36,147 + 80,227,227,227,True,False
model_A,1,37,88 + 113,201,201,201,True,False
model_A,1,38,85 + 109,194,214,214,False,False
model_A,1,39,113 + 83,196,196,196,True,False
model_A,1,40,138 + 90,228,228,228,True,False
model_A,1,41,89 + 104,193,193,193,True,False
model_A,1,42,111 + 93,204,204,204,True,False
model_A,1,43,147 + 70,217,217,217,True,False
model_A,1,44,93 + 117,210,210,210,True,False
model_A,1,45,123 + 83,206,206,206,True,False
model_A,1,46,134 + 123,257,257,257,True,False
model_A,1,47,100 + 117,217,217,217,True,False
model_A,1,48,89 + 130,219,219,219,True,False
model_A,1,49,98 + 97,195,195,195,True,False
model_A,1,50,106 + 113,219,219,219,True,False
model_A,1,51,99 + 129,228,228,228,True,False
model_A,1,52,122 + 120,242,242,242,True,False
model_A,1,53,84 + 124,208,208,208,True,False
model_A,1,54,109 + 84,193,193,193,True,False
model_A,1,55,115 + 92,207,207,207,True,False
model_A,1,56,113 + 81,194,194,194,True,False
model_A,1,57,120 + 97,217,217,217,True,False
model_A,1,58,85 + 115,200,200,200,True,False
model_A,1,59,135 + 74,209,209,209,True,False
model_A,1,60,132 + 90,222,222,222,True,False
model_A,1,61,128 + 113,241,241,241,True,False
model_A,1,62,116 + 83,199,199,199,True,False
model_A,1,63,145 + 100,245,245,245,True,False
model_A,1,64,91 + 122,213,213,213,True,False
model_A,1,65,85 + 85,170,170,170,True,False
model_A,1,66,129 + 101,230,230,230,True,False
model_A,1,67,108 + 81,189,189,189,True,False
model_A,1,68,138 + 78,216,216,216,True,False
model_A,1,69,144 + 97,241,241,241,True,False
model_A,1,70,111 + 123,234,234,234,True,False
model_A,1,71,89 + 115,204,204,204,True,False
model_A,1,72,90 + 78,168,168,168,True,False
model_A,1,73,133 + 96,229,229,229,True,False
model_A,1,74,133 + 94,227,227,227,True,False
model_A,1,75,129 + 124,253,253,253,True,False
model_A,1,76,108 + 87,195,195,195,True,False
model_A,1,77,101 + 123,224,224,224,True,False
model_A,1,78,83 + 75,158,158,158,True,False
model_A,1,79,128 + 90,218,218,218,True,False
model_A,1,80,133 + 86,219,219,219,True,False
model_A,1,81,108 + 111,219,219,219,True,False
model_A,1,82,99 + 85,184,184,184,True,False
model_A,1,83,112 + 119,231,231,231,True,False
model_A,1,84,119 + 76,195,119 + 76 = 195,195,True,False
model_A,1,85,89 + 107,196,216,216,False,False
model_A,1,86,85 + 92,177,177,177,True,False
model_A,1,87,81 + 124,205,205,205,True,False
model_A,1,88,99 + 97,196,196,196,True,False
model_A,1,89,139 + 97,236,236,236,True,False
model_A,1,90,111 + 118,229,229,229,True,False
model_A,1,91,103 + 101,204,204,204,True,False
model_A,1,92,115 + 105,220,220,220,True,False
model_A,1,93,142 + 105,247,247,247,True,False
model_A,1,94,117 + 84,201,201,201,True,False
model_A,1,95,147 + 92,239,239,239,True,False
model_A,1,96,119 + 86,205,119 + 86 = 205,205,True,False
model_A,1,97,103 + 82,185,185,185,True,False
model_A,1,98,116 + 76,192,116 + 76 = 192,192,True,False
model_A,1,99,81 + 115,196,236,236,False,False
