ID,Subject,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,high_school_microeconomics,"Because people with relatively low incomes spend a larger percentage of their income on food than people with relatively high incomes, a sales tax on food would fall into which category of taxes?",195,"Please read the following question and answer it now. Because people with relatively low incomes spend a larger percentage of their income on food than people with relatively high incomes, a sales tax on food would fall into which category of taxes?","You will receive a great reward for a correct answer. Because people with relatively low incomes spend a larger percentage of their income on food than people with relatively high incomes, a sales tax on food would fall into which category of taxes?","You will receive 100 US dollars for a correct answer. Because people with relatively low incomes spend a larger percentage of their income on food than people with relatively high incomes, a sales tax on food would fall into which category of taxes?"
2,high_school_microeconomics,"When price elasticity of demand is greater than 1, demand is",60,"Please read the following question and answer it now. When price elasticity of demand is greater than 1, demand is","You will receive a great reward for a correct answer. When price elasticity of demand is greater than 1, demand is","You will receive 100 US dollars for a correct answer. When price elasticity of demand is greater than 1, demand is"
3,high_school_microeconomics,Production possibilities frontiers are concave to the origin because,68,Please read the following question and answer it now. Production possibilities frontiers are concave to the origin because,You will receive a great reward for a correct answer. Production possibilities frontiers are concave to the origin because,You will receive 100 US dollars for a correct answer. Production possibilities frontiers are concave to the origin because
4,high_school_microeconomics,"Education makes Chris a better worker, voter, parent, and citizen. Because the benefits from education go beyond those that Chris enjoys himself, education provides",164,"Please read the following question and answer it now. Education makes Chris a better worker, voter, parent, and citizen. Because the benefits from education go beyond those that Chris enjoys himself, education provides","You will receive a great reward for a correct answer. Education makes Chris a better worker, voter, parent, and citizen. Because the benefits from education go beyond those that Chris enjoys himself, education provides","You will receive 100 US dollars for a correct answer. Education makes Chris a better worker, voter, parent, and citizen. Because the benefits from education go beyond those that Chris enjoys himself, education provides"
5,high_school_microeconomics,Which of the following is an example of a long-run adjustment for the owners of a small café?,93,Please read the following question and answer it now. Which of the following is an example of a long-run adjustment for the owners of a small café?,You will receive a great reward for a correct answer. Which of the following is an example of a long-run adjustment for the owners of a small café?,You will receive 100 US dollars for a correct answer. Which of the following is an example of a long-run adjustment for the owners of a small café?
6,high_school_microeconomics,"In the short run, a firm employs labor and capital to produce gadgets. If the annual price of capital increases, what will happen to the short-run cost curves?",159,"Please read the following question and answer it now. In the short run, a firm employs labor and capital to produce gadgets. If the annual price of capital increases, what will happen to the short-run cost curves?","You will receive a great reward for a correct answer. In the short run, a firm employs labor and capital to produce gadgets. If the annual price of capital increases, what will happen to the short-run cost curves?","You will receive 100 US dollars for a correct answer. In the short run, a firm employs labor and capital to produce gadgets. If the annual price of capital increases, what will happen to the short-run cost curves?"
7,high_school_microeconomics,A tax imposed on a supplier will more likely be passed on to the consumer in the form of price increase if,106,Please read the following question and answer it now. A tax imposed on a supplier will more likely be passed on to the consumer in the form of price increase if,You will receive a great reward for a correct answer. A tax imposed on a supplier will more likely be passed on to the consumer in the form of price increase if,You will receive 100 US dollars for a correct answer. A tax imposed on a supplier will more likely be passed on to the consumer in the form of price increase if
8,high_school_microeconomics,Macroeconomics focuses on,25,Please read the following question and answer it now. Macroeconomics focuses on,You will receive a great reward for a correct answer. Macroeconomics focuses on,You will receive 100 US dollars for a correct answer. Macroeconomics focuses on
9,high_school_microeconomics,Suppose that there are only two goods: x and y. Which of the following is NOT correct?,86,Please read the following question and answer it now. Suppose that there are only two goods: x and y. Which of the following is NOT correct?,You will receive a great reward for a correct answer. Suppose that there are only two goods: x and y. Which of the following is NOT correct?,You will receive 100 US dollars for a correct answer. Suppose that there are only two goods: x and y. Which of the following is NOT correct?
10,high_school_microeconomics,"When a perfectly competitive labor market is in equilibrium,",60,"Please read the following question and answer it now. When a perfectly competitive labor market is in equilibrium,","You will receive a great reward for a correct answer. When a perfectly competitive labor market is in equilibrium,","You will receive 100 US dollars for a correct answer. When a perfectly competitive labor market is in equilibrium,"
11,high_school_microeconomics,"When the production or consumption of a good creates a positive externality, it is deemed a market failure because at the market quantity",137,"Please read the following question and answer it now. When the production or consumption of a good creates a positive externality, it is deemed a market failure because at the market quantity","You will receive a great reward for a correct answer. When the production or consumption of a good creates a positive externality, it is deemed a market failure because at the market quantity","You will receive 100 US dollars for a correct answer. When the production or consumption of a good creates a positive externality, it is deemed a market failure because at the market quantity"
12,high_school_microeconomics,"Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,",200,"Please read the following question and answer it now. Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,","You will receive a great reward for a correct answer. Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,","You will receive 100 US dollars for a correct answer. Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,"
13,high_school_microeconomics,A negative externality in the market for a good exists when,59,Please read the following question and answer it now. A negative externality in the market for a good exists when,You will receive a great reward for a correct answer. A negative externality in the market for a good exists when,You will receive 100 US dollars for a correct answer. A negative externality in the market for a good exists when
14,high_school_microeconomics,You are told that the income elasticity for DVDs is + 1.5. This means that,74,Please read the following question and answer it now. You are told that the income elasticity for DVDs is + 1.5. This means that,You will receive a great reward for a correct answer. You are told that the income elasticity for DVDs is + 1.5. This means that,You will receive 100 US dollars for a correct answer. You are told that the income elasticity for DVDs is + 1.5. This means that
