ID,Subject,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,nutrition,Which of the following is not a reason for increased risk of vitamin or mineral deficiencies among older people in high income countries?,137,Please read the following question and answer it now. Which of the following is not a reason for increased risk of vitamin or mineral deficiencies among older people in high income countries?,You will receive a great reward for a correct answer. Which of the following is not a reason for increased risk of vitamin or mineral deficiencies among older people in high income countries?,You will receive 100 US dollars for a correct answer. Which of the following is not a reason for increased risk of vitamin or mineral deficiencies among older people in high income countries?
2,nutrition,Confounding is a particular challenge in nutritional epidemiology because,73,Please read the following question and answer it now. Confounding is a particular challenge in nutritional epidemiology because,You will receive a great reward for a correct answer. Confounding is a particular challenge in nutritional epidemiology because,You will receive 100 US dollars for a correct answer. Confounding is a particular challenge in nutritional epidemiology because
3,nutrition,"In relation to Eating Disorders, it is correct that:",52,"Please read the following question and answer it now. In relation to Eating Disorders, it is correct that:","You will receive a great reward for a correct answer. In relation to Eating Disorders, it is correct that:","You will receive 100 US dollars for a correct answer. In relation to Eating Disorders, it is correct that:"
4,nutrition,Which statement about the oral phase of digestion is INCORRECT?,63,Please read the following question and answer it now. Which statement about the oral phase of digestion is INCORRECT?,You will receive a great reward for a correct answer. Which statement about the oral phase of digestion is INCORRECT?,You will receive 100 US dollars for a correct answer. Which statement about the oral phase of digestion is INCORRECT?
5,nutrition,Which are the FIVE main series of apoproteins that have been identified?,72,Please read the following question and answer it now. Which are the FIVE main series of apoproteins that have been identified?,You will receive a great reward for a correct answer. Which are the FIVE main series of apoproteins that have been identified?,You will receive 100 US dollars for a correct answer. Which are the FIVE main series of apoproteins that have been identified?
6,nutrition,Which of the following is not considered a diagnostic feature of Anorexia Nervosa,81,Please read the following question and answer it now. Which of the following is not considered a diagnostic feature of Anorexia Nervosa,You will receive a great reward for a correct answer. Which of the following is not considered a diagnostic feature of Anorexia Nervosa,You will receive 100 US dollars for a correct answer. Which of the following is not considered a diagnostic feature of Anorexia Nervosa
7,nutrition,What should elite athletes ideally consume during prolonged high intensity exercise (>2.5 hours)?,97,Please read the following question and answer it now. What should elite athletes ideally consume during prolonged high intensity exercise (>2.5 hours)?,You will receive a great reward for a correct answer. What should elite athletes ideally consume during prolonged high intensity exercise (>2.5 hours)?,You will receive 100 US dollars for a correct answer. What should elite athletes ideally consume during prolonged high intensity exercise (>2.5 hours)?
8,nutrition,A 20 year old student who has recently arrived in Britain from Sudan visits the university health centre to complain of abdominal cramps and diarrhoea after drinking milk. Which of the following is the most likely cause of his problem?,235,Please read the following question and answer it now. A 20 year old student who has recently arrived in Britain from Sudan visits the university health centre to complain of abdominal cramps and diarrhoea after drinking milk. Which of the following is the most likely cause of his problem?,You will receive a great reward for a correct answer. A 20 year old student who has recently arrived in Britain from Sudan visits the university health centre to complain of abdominal cramps and diarrhoea after drinking milk. Which of the following is the most likely cause of his problem?,You will receive 100 US dollars for a correct answer. A 20 year old student who has recently arrived in Britain from Sudan visits the university health centre to complain of abdominal cramps and diarrhoea after drinking milk. Which of the following is the most likely cause of his problem?
9,nutrition,Oral bacterial synthesise extracellular glucans (dextran and mutan) from which host dietary component?,102,Please read the following question and answer it now. Oral bacterial synthesise extracellular glucans (dextran and mutan) from which host dietary component?,You will receive a great reward for a correct answer. Oral bacterial synthesise extracellular glucans (dextran and mutan) from which host dietary component?,You will receive 100 US dollars for a correct answer. Oral bacterial synthesise extracellular glucans (dextran and mutan) from which host dietary component?
10,nutrition,IBS,3,Please read the following question and answer it now. IBS,You will receive a great reward for a correct answer. IBS,You will receive 100 US dollars for a correct answer. IBS
11,nutrition,What are the main enzyme systems for catalysing ethanol to acetaldehyde?,72,Please read the following question and answer it now. What are the main enzyme systems for catalysing ethanol to acetaldehyde?,You will receive a great reward for a correct answer. What are the main enzyme systems for catalysing ethanol to acetaldehyde?,You will receive 100 US dollars for a correct answer. What are the main enzyme systems for catalysing ethanol to acetaldehyde?
12,nutrition,"The effects of iron on certain aspects of socio-emotional development (shyness, orientation/engagement and response to unfamiliar pictures) is due to:",150,"Please read the following question and answer it now. The effects of iron on certain aspects of socio-emotional development (shyness, orientation/engagement and response to unfamiliar pictures) is due to:","You will receive a great reward for a correct answer. The effects of iron on certain aspects of socio-emotional development (shyness, orientation/engagement and response to unfamiliar pictures) is due to:","You will receive 100 US dollars for a correct answer. The effects of iron on certain aspects of socio-emotional development (shyness, orientation/engagement and response to unfamiliar pictures) is due to:"
13,nutrition,The best available evidence for an association between amount of sugars and risk of dental caries comes from which type of study design?,136,Please read the following question and answer it now. The best available evidence for an association between amount of sugars and risk of dental caries comes from which type of study design?,You will receive a great reward for a correct answer. The best available evidence for an association between amount of sugars and risk of dental caries comes from which type of study design?,You will receive 100 US dollars for a correct answer. The best available evidence for an association between amount of sugars and risk of dental caries comes from which type of study design?
14,nutrition,What is the prevalence of alcoholic myopathy in alcoholics,58,Please read the following question and answer it now. What is the prevalence of alcoholic myopathy in alcoholics,You will receive a great reward for a correct answer. What is the prevalence of alcoholic myopathy in alcoholics,You will receive 100 US dollars for a correct answer. What is the prevalence of alcoholic myopathy in alcoholics
15,nutrition,Which of the following is the yield of ATP from complete oxidation of glucose to carbon dioxide and water?,106,Please read the following question and answer it now. Which of the following is the yield of ATP from complete oxidation of glucose to carbon dioxide and water?,You will receive a great reward for a correct answer. Which of the following is the yield of ATP from complete oxidation of glucose to carbon dioxide and water?,You will receive 100 US dollars for a correct answer. Which of the following is the yield of ATP from complete oxidation of glucose to carbon dioxide and water?
16,nutrition,Which vitamin is required for vision in dim light?,50,Please read the following question and answer it now. Which vitamin is required for vision in dim light?,You will receive a great reward for a correct answer. Which vitamin is required for vision in dim light?,You will receive 100 US dollars for a correct answer. Which vitamin is required for vision in dim light?
17,nutrition,Severe acute malnutrition in young children is defined as:,58,Please read the following question and answer it now. Severe acute malnutrition in young children is defined as:,You will receive a great reward for a correct answer. Severe acute malnutrition in young children is defined as:,You will receive 100 US dollars for a correct answer. Severe acute malnutrition in young children is defined as:
18,nutrition,Risk assessment is applied to data on toxicity and human exposure to:,69,Please read the following question and answer it now. Risk assessment is applied to data on toxicity and human exposure to:,You will receive a great reward for a correct answer. Risk assessment is applied to data on toxicity and human exposure to:,You will receive 100 US dollars for a correct answer. Risk assessment is applied to data on toxicity and human exposure to:
19,nutrition,Diagnosis of iron deficiency can be complicated by concurrent infection since many markers of iron status are altered by infection. Which of the following combinations of iron status markers is likely to be found in a person with both iron deficiency and a severe infection?,274,Please read the following question and answer it now. Diagnosis of iron deficiency can be complicated by concurrent infection since many markers of iron status are altered by infection. Which of the following combinations of iron status markers is likely to be found in a person with both iron deficiency and a severe infection?,You will receive a great reward for a correct answer. Diagnosis of iron deficiency can be complicated by concurrent infection since many markers of iron status are altered by infection. Which of the following combinations of iron status markers is likely to be found in a person with both iron deficiency and a severe infection?,You will receive 100 US dollars for a correct answer. Diagnosis of iron deficiency can be complicated by concurrent infection since many markers of iron status are altered by infection. Which of the following combinations of iron status markers is likely to be found in a person with both iron deficiency and a severe infection?
20,nutrition,The WHO made a strong recommendation that the maximum intake of free sugars by individuals within populations should be,119,Please read the following question and answer it now. The WHO made a strong recommendation that the maximum intake of free sugars by individuals within populations should be,You will receive a great reward for a correct answer. The WHO made a strong recommendation that the maximum intake of free sugars by individuals within populations should be,You will receive 100 US dollars for a correct answer. The WHO made a strong recommendation that the maximum intake of free sugars by individuals within populations should be
21,nutrition,For Binge Eating Disorder it is incorrect that:,47,Please read the following question and answer it now. For Binge Eating Disorder it is incorrect that:,You will receive a great reward for a correct answer. For Binge Eating Disorder it is incorrect that:,You will receive 100 US dollars for a correct answer. For Binge Eating Disorder it is incorrect that:
22,nutrition,Deficiencies of which of the following nutrients can lead to anaemia?,69,Please read the following question and answer it now. Deficiencies of which of the following nutrients can lead to anaemia?,You will receive a great reward for a correct answer. Deficiencies of which of the following nutrients can lead to anaemia?,You will receive 100 US dollars for a correct answer. Deficiencies of which of the following nutrients can lead to anaemia?
23,nutrition,Which of the following statements about glucose metabolism is correct?,70,Please read the following question and answer it now. Which of the following statements about glucose metabolism is correct?,You will receive a great reward for a correct answer. Which of the following statements about glucose metabolism is correct?,You will receive 100 US dollars for a correct answer. Which of the following statements about glucose metabolism is correct?
24,nutrition,Greater milk consumption,24,Please read the following question and answer it now. Greater milk consumption,You will receive a great reward for a correct answer. Greater milk consumption,You will receive 100 US dollars for a correct answer. Greater milk consumption
25,nutrition,Which of the following statements about methods of evaluating protein quality in human nutrition is correct?,108,Please read the following question and answer it now. Which of the following statements about methods of evaluating protein quality in human nutrition is correct?,You will receive a great reward for a correct answer. Which of the following statements about methods of evaluating protein quality in human nutrition is correct?,You will receive 100 US dollars for a correct answer. Which of the following statements about methods of evaluating protein quality in human nutrition is correct?
26,nutrition,"Which of the following statements is/are true?
There is increasing concern about the importance of adequate nutrition in the pre-conception period to support a successful pregnancy. This is because:",198,"Please read the following question and answer it now. Which of the following statements is/are true?
There is increasing concern about the importance of adequate nutrition in the pre-conception period to support a successful pregnancy. This is because:","You will receive a great reward for a correct answer. Which of the following statements is/are true?
There is increasing concern about the importance of adequate nutrition in the pre-conception period to support a successful pregnancy. This is because:","You will receive 100 US dollars for a correct answer. Which of the following statements is/are true?
There is increasing concern about the importance of adequate nutrition in the pre-conception period to support a successful pregnancy. This is because:"
27,nutrition,"Vitamin D deficiency can often be found as a single nutrient deficiency, that is, in an otherwise well-nourished person. The main reason this can happen is because:",164,"Please read the following question and answer it now. Vitamin D deficiency can often be found as a single nutrient deficiency, that is, in an otherwise well-nourished person. The main reason this can happen is because:","You will receive a great reward for a correct answer. Vitamin D deficiency can often be found as a single nutrient deficiency, that is, in an otherwise well-nourished person. The main reason this can happen is because:","You will receive 100 US dollars for a correct answer. Vitamin D deficiency can often be found as a single nutrient deficiency, that is, in an otherwise well-nourished person. The main reason this can happen is because:"
28,nutrition,"Which of the following is true about the diagnosis of ""osteopenia"" or ""osteoporosis"" in North America and Western Europe",120,"Please read the following question and answer it now. Which of the following is true about the diagnosis of ""osteopenia"" or ""osteoporosis"" in North America and Western Europe","You will receive a great reward for a correct answer. Which of the following is true about the diagnosis of ""osteopenia"" or ""osteoporosis"" in North America and Western Europe","You will receive 100 US dollars for a correct answer. Which of the following is true about the diagnosis of ""osteopenia"" or ""osteoporosis"" in North America and Western Europe"
29,nutrition,Which one of following statements about nitrogen balance is correct?,68,Please read the following question and answer it now. Which one of following statements about nitrogen balance is correct?,You will receive a great reward for a correct answer. Which one of following statements about nitrogen balance is correct?,You will receive 100 US dollars for a correct answer. Which one of following statements about nitrogen balance is correct?
30,nutrition,The thermic effect of food,26,Please read the following question and answer it now. The thermic effect of food,You will receive a great reward for a correct answer. The thermic effect of food,You will receive 100 US dollars for a correct answer. The thermic effect of food
31,nutrition,Intestinal failiure:,20,Please read the following question and answer it now. Intestinal failiure:,You will receive a great reward for a correct answer. Intestinal failiure:,You will receive 100 US dollars for a correct answer. Intestinal failiure:
32,nutrition,"Which of the following statements is/are true?
How can smoking affect breastfeeding?",84,"Please read the following question and answer it now. Which of the following statements is/are true?
How can smoking affect breastfeeding?","You will receive a great reward for a correct answer. Which of the following statements is/are true?
How can smoking affect breastfeeding?","You will receive 100 US dollars for a correct answer. Which of the following statements is/are true?
How can smoking affect breastfeeding?"
33,nutrition,Which of the following vitamins provides the coenzyme for oxidative decarboxylation of pyruvate?,96,Please read the following question and answer it now. Which of the following vitamins provides the coenzyme for oxidative decarboxylation of pyruvate?,You will receive a great reward for a correct answer. Which of the following vitamins provides the coenzyme for oxidative decarboxylation of pyruvate?,You will receive 100 US dollars for a correct answer. Which of the following vitamins provides the coenzyme for oxidative decarboxylation of pyruvate?
34,nutrition,The measurement of a specific biochemical status index for a micronutrient such as vitamin C is most likely to be useful in practice to estimate:,145,Please read the following question and answer it now. The measurement of a specific biochemical status index for a micronutrient such as vitamin C is most likely to be useful in practice to estimate:,You will receive a great reward for a correct answer. The measurement of a specific biochemical status index for a micronutrient such as vitamin C is most likely to be useful in practice to estimate:,You will receive 100 US dollars for a correct answer. The measurement of a specific biochemical status index for a micronutrient such as vitamin C is most likely to be useful in practice to estimate:
35,nutrition,The body's adjustment of heat production to changes in the plane of nutrition (under- or over-nutrition) and to minimize energy imbalance is known as:,150,Please read the following question and answer it now. The body's adjustment of heat production to changes in the plane of nutrition (under- or over-nutrition) and to minimize energy imbalance is known as:,You will receive a great reward for a correct answer. The body's adjustment of heat production to changes in the plane of nutrition (under- or over-nutrition) and to minimize energy imbalance is known as:,You will receive 100 US dollars for a correct answer. The body's adjustment of heat production to changes in the plane of nutrition (under- or over-nutrition) and to minimize energy imbalance is known as:
36,nutrition,How many kcal are there in one gram of ethanol?,47,Please read the following question and answer it now. How many kcal are there in one gram of ethanol?,You will receive a great reward for a correct answer. How many kcal are there in one gram of ethanol?,You will receive 100 US dollars for a correct answer. How many kcal are there in one gram of ethanol?
37,nutrition,In adolescence:,15,Please read the following question and answer it now. In adolescence:,You will receive a great reward for a correct answer. In adolescence:,You will receive 100 US dollars for a correct answer. In adolescence:
38,nutrition,What is the main source of protein in the British diet?,55,Please read the following question and answer it now. What is the main source of protein in the British diet?,You will receive a great reward for a correct answer. What is the main source of protein in the British diet?,You will receive 100 US dollars for a correct answer. What is the main source of protein in the British diet?
39,nutrition,What stable isotope is commonly given for the measurement of total body water?,78,Please read the following question and answer it now. What stable isotope is commonly given for the measurement of total body water?,You will receive a great reward for a correct answer. What stable isotope is commonly given for the measurement of total body water?,You will receive 100 US dollars for a correct answer. What stable isotope is commonly given for the measurement of total body water?
40,nutrition,Which of the following diseases does obesity increase the risk of developing?,77,Please read the following question and answer it now. Which of the following diseases does obesity increase the risk of developing?,You will receive a great reward for a correct answer. Which of the following diseases does obesity increase the risk of developing?,You will receive 100 US dollars for a correct answer. Which of the following diseases does obesity increase the risk of developing?
41,nutrition,Which diseases are not less frequent among vegetarians?,55,Please read the following question and answer it now. Which diseases are not less frequent among vegetarians?,You will receive a great reward for a correct answer. Which diseases are not less frequent among vegetarians?,You will receive 100 US dollars for a correct answer. Which diseases are not less frequent among vegetarians?
42,nutrition,The risk factors for type 2 diabetes mellitus include:,54,Please read the following question and answer it now. The risk factors for type 2 diabetes mellitus include:,You will receive a great reward for a correct answer. The risk factors for type 2 diabetes mellitus include:,You will receive 100 US dollars for a correct answer. The risk factors for type 2 diabetes mellitus include:
43,nutrition,To characterize a binge eating episode one must investigate the presence of:,76,Please read the following question and answer it now. To characterize a binge eating episode one must investigate the presence of:,You will receive a great reward for a correct answer. To characterize a binge eating episode one must investigate the presence of:,You will receive 100 US dollars for a correct answer. To characterize a binge eating episode one must investigate the presence of:
44,nutrition,How much dietary protein should athletes consume daily?,55,Please read the following question and answer it now. How much dietary protein should athletes consume daily?,You will receive a great reward for a correct answer. How much dietary protein should athletes consume daily?,You will receive 100 US dollars for a correct answer. How much dietary protein should athletes consume daily?
