ID,Source_ID,Slot,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,1,4,"At the zoo a cage had sixty-eight snakes. If forty-two were hiding, how many snakes were not hiding?",100,"Please read the following question and answer it now. At the zoo a cage had sixty-eight snakes. If forty-two were hiding, how many snakes were not hiding?","You will receive a great reward for a correct answer. At the zoo a cage had sixty-eight snakes. If forty-two were hiding, how many snakes were not hiding?","You will receive 100 US dollars for a correct answer. At the zoo a cage had sixty-eight snakes. If forty-two were hiding, how many snakes were not hiding?"
2,4,1,"Another region was the aquatic reserve for freshwater organisms. If there are 6 bodies of water in the region, each having 175 different fishes, how many fishes does he have in total?",183,"Please read the following question and answer it now. Another region was the aquatic reserve for freshwater organisms. If there are 6 bodies of water in the region, each having 175 different fishes, how many fishes does he have in total?","You will receive a great reward for a correct answer. Another region was the aquatic reserve for freshwater organisms. If there are 6 bodies of water in the region, each having 175 different fishes, how many fishes does he have in total?","You will receive 100 US dollars for a correct answer. Another region was the aquatic reserve for freshwater organisms. If there are 6 bodies of water in the region, each having 175 different fishes, how many fishes does he have in total?"
3,4,2,"Tim has a bag of 36 orange-flavoured sweets and Peter has a bag of 44 grape-flavoured sweets. They have to divide up the sweets into small trays with equal number of sweets; each tray containing either orange-flavoured or grape-flavoured sweets only. If there is no remainder, what is the largest possible number of sweets in each tray?",336,"Please read the following question and answer it now. Tim has a bag of 36 orange-flavoured sweets and Peter has a bag of 44 grape-flavoured sweets. They have to divide up the sweets into small trays with equal number of sweets; each tray containing either orange-flavoured or grape-flavoured sweets only. If there is no remainder, what is the largest possible number of sweets in each tray?","You will receive a great reward for a correct answer. Tim has a bag of 36 orange-flavoured sweets and Peter has a bag of 44 grape-flavoured sweets. They have to divide up the sweets into small trays with equal number of sweets; each tray containing either orange-flavoured or grape-flavoured sweets only. If there is no remainder, what is the largest possible number of sweets in each tray?","You will receive 100 US dollars for a correct answer. Tim has a bag of 36 orange-flavoured sweets and Peter has a bag of 44 grape-flavoured sweets. They have to divide up the sweets into small trays with equal number of sweets; each tray containing either orange-flavoured or grape-flavoured sweets only. If there is no remainder, what is the largest possible number of sweets in each tray?"
4,4,4,Ted has 15 candy bars. He wants to put them into 5 bags so there are the same number of candy bars in each bag. How many candy bars should go in each bag?,154,Please read the following question and answer it now. Ted has 15 candy bars. He wants to put them into 5 bags so there are the same number of candy bars in each bag. How many candy bars should go in each bag?,You will receive a great reward for a correct answer. Ted has 15 candy bars. He wants to put them into 5 bags so there are the same number of candy bars in each bag. How many candy bars should go in each bag?,You will receive 100 US dollars for a correct answer. Ted has 15 candy bars. He wants to put them into 5 bags so there are the same number of candy bars in each bag. How many candy bars should go in each bag?
5,5,1,A farmer planted twenty seeds on Wednesday and another two seeds on Thursday. How many seeds did he plant total?,112,Please read the following question and answer it now. A farmer planted twenty seeds on Wednesday and another two seeds on Thursday. How many seeds did he plant total?,You will receive a great reward for a correct answer. A farmer planted twenty seeds on Wednesday and another two seeds on Thursday. How many seeds did he plant total?,You will receive 100 US dollars for a correct answer. A farmer planted twenty seeds on Wednesday and another two seeds on Thursday. How many seeds did he plant total?
6,6,3,"Vanessa had saved up eight hundred fifty-five quarters and decided to spend them on sodas. If it costs seven quarters for each soda from a soda machine, how many more quarters would she need to buy the final soda?",213,"Please read the following question and answer it now. Vanessa had saved up eight hundred fifty-five quarters and decided to spend them on sodas. If it costs seven quarters for each soda from a soda machine, how many more quarters would she need to buy the final soda?","You will receive a great reward for a correct answer. Vanessa had saved up eight hundred fifty-five quarters and decided to spend them on sodas. If it costs seven quarters for each soda from a soda machine, how many more quarters would she need to buy the final soda?","You will receive 100 US dollars for a correct answer. Vanessa had saved up eight hundred fifty-five quarters and decided to spend them on sodas. If it costs seven quarters for each soda from a soda machine, how many more quarters would she need to buy the final soda?"
7,6,4,Crackers come in packages of 18. Betty ate 45 crackers. How many crackers does she have left?,93,Please read the following question and answer it now. Crackers come in packages of 18. Betty ate 45 crackers. How many crackers does she have left?,You will receive a great reward for a correct answer. Crackers come in packages of 18. Betty ate 45 crackers. How many crackers does she have left?,You will receive 100 US dollars for a correct answer. Crackers come in packages of 18. Betty ate 45 crackers. How many crackers does she have left?
8,8,1,"April's discount flowers was having a sale where each flower was eight dollars. If Vanessa bought three roses and three daisies, how much did she spend?",152,"Please read the following question and answer it now. April's discount flowers was having a sale where each flower was eight dollars. If Vanessa bought three roses and three daisies, how much did she spend?","You will receive a great reward for a correct answer. April's discount flowers was having a sale where each flower was eight dollars. If Vanessa bought three roses and three daisies, how much did she spend?","You will receive 100 US dollars for a correct answer. April's discount flowers was having a sale where each flower was eight dollars. If Vanessa bought three roses and three daisies, how much did she spend?"
9,9,2,You have 7 balloons and your friend has 5 balloons. What's the difference of the number of your balloons and your friend's balloons?,132,Please read the following question and answer it now. You have 7 balloons and your friend has 5 balloons. What's the difference of the number of your balloons and your friend's balloons?,You will receive a great reward for a correct answer. You have 7 balloons and your friend has 5 balloons. What's the difference of the number of your balloons and your friend's balloons?,You will receive 100 US dollars for a correct answer. You have 7 balloons and your friend has 5 balloons. What's the difference of the number of your balloons and your friend's balloons?
10,9,4,"Robin is making bead necklaces. She wants to use 31 beads to make 4 necklaces. If she wants each necklace to have the same number of beads, how many beads will she have left over?",179,"Please read the following question and answer it now. Robin is making bead necklaces. She wants to use 31 beads to make 4 necklaces. If she wants each necklace to have the same number of beads, how many beads will she have left over?","You will receive a great reward for a correct answer. Robin is making bead necklaces. She wants to use 31 beads to make 4 necklaces. If she wants each necklace to have the same number of beads, how many beads will she have left over?","You will receive 100 US dollars for a correct answer. Robin is making bead necklaces. She wants to use 31 beads to make 4 necklaces. If she wants each necklace to have the same number of beads, how many beads will she have left over?"
