high_wanting,low_wanting
"I know about the job opening and I am going to apply first thing tomorrow.","I know about the job opening but I probably will not bother applying."
"I heard about the trip and I am already packing my bags.","I heard about the trip but I do not really feel like going."
"I see the competition is open and I am signing up right now.","I see the competition is open but I do not think I will enter."
"I know the restaurant has a table and I am heading there tonight.","I know the restaurant has a table but I would rather just stay home."
"I found out about the concert and I already bought my ticket.","I found out about the concert but I do not care enough to go."
"I saw the car at the dealership and I am going to buy it this week.","I saw the car at the dealership but I have no interest in buying it."
"I know the exam is next week and I am studying every free minute.","I know the exam is next week but I cannot bring myself to study."
"I met that person and I am going to ask them out today.","I met that person but I do not feel motivated to pursue anything."
"I heard the bookstore has the new release and I am driving there now.","I heard the bookstore has the new release but I will probably skip it."
"I know the promotion is available and I am going to work harder than ever.","I know the promotion is available but I do not have the energy to pursue it."
"I see the new restaurant opened and I am making a reservation tonight.","I see the new restaurant opened but I am not interested enough to try it."
"I know tickets are on sale and I am getting front row seats.","I know tickets are on sale but I would rather not bother."
"I heard about the sunrise hike and I am setting my alarm for 3 AM.","I heard about the sunrise hike but I would rather stay in bed."
"I found out the shelter has puppies and I am going there after work.","I found out the shelter has puppies but I do not feel like visiting."
"I know the vacation package is available and I am booking it today.","I know the vacation package is available but I cannot be bothered to book it."
"I see the lessons are being offered and I am enrolling immediately.","I see the lessons are being offered but I do not feel like signing up."
"I know the project deadline is coming and I am working on it with full energy.","I know the project deadline is coming but I just cannot get started."
"I heard the program is accepting applications and I am submitting mine now.","I heard the program is accepting applications but I do not feel driven to apply."
"I know the bakery closes soon and I am rushing over there.","I know the bakery closes soon but I do not care enough to go."
"I see the book was recommended and I am ordering it right now.","I see the book was recommended but I have no desire to read it."
"I know the movie is showing this weekend and I already have my ticket.","I know the movie is showing this weekend but I will probably skip it."
"I heard the limited edition goes on sale tomorrow and I am camping outside the store.","I heard the limited edition goes on sale tomorrow but I will not make the effort."
"I know there is a game this afternoon and I am ready to give it everything.","I know there is a game this afternoon but I do not feel like playing."
"I see the group trip is planned and I am confirming my spot immediately.","I see the group trip is planned but I do not feel motivated to join."
"I received the wedding invitation and I am going no matter what.","I received the wedding invitation but I do not think I will attend."
"I know the recipe was shared and I am making it for dinner tonight.","I know the recipe was shared but I do not have the motivation to cook."
"I see there is a chance to ask a question and I am raising my hand.","I see there is a chance to ask a question but I will just stay quiet."
"I know the marathon is next month and I am training every single day.","I know the marathon is next month but I cannot motivate myself to train."
"I heard the northern lights might be visible and I am driving north tonight.","I heard the northern lights might be visible but I will not make the trip."
"I know the cafeteria has chocolate cake and I am going to get a slice right now.","I know the cafeteria has chocolate cake but I do not feel like getting any."
"I see the new ride opened at the park and I am heading there this weekend.","I see the new ride opened at the park but I have no desire to try it."
"I heard the guitar is on sale and I am going to buy it today.","I heard the guitar is on sale but I do not feel like buying it."
"I know the audition is Friday and I am rehearsing nonstop.","I know the audition is Friday but I cannot bring myself to prepare."
"I see the hiking trail is open and I am going to reach the summit today.","I see the hiking trail is open but I do not have the drive to attempt it."
"I know the language course starts next week and I am registering now.","I know the language course starts next week but I will probably not sign up."
"I heard about the business opportunity and I am writing my plan tonight.","I heard about the business opportunity but I do not feel motivated to pursue it."
"I know the holiday is coming and I am arranging everything to see my family.","I know the holiday is coming but I do not feel like making the trip."
"I see the beach is a short drive away and I am going there after lunch.","I see the beach is a short drive away but I would rather just stay here."
"I know the scholarship deadline is approaching and I am finalizing my application.","I know the scholarship deadline is approaching but I do not have the energy to apply."
"I heard the writing workshop is available and I am signing up today.","I heard the writing workshop is available but I do not feel like attending."
"I see volunteer spots are open and I am putting my name down immediately.","I see volunteer spots are open but I cannot be bothered to volunteer."
"I know the series is streaming and I am starting it tonight.","I know the series is streaming but I do not feel like watching anything."
"I found the perfect gift idea and I am going shopping for it right now.","I found a gift idea but I do not have the motivation to go buy it."
"I know the running event is this weekend and I am going to beat my record.","I know the running event is this weekend but I do not feel like participating."
"I see the food stand is across town and I am walking there right now.","I see the food stand is across town but I do not feel like making the trip."
"I know dance classes are available and I am booking my first lesson.","I know dance classes are available but I do not feel like going."
"I see several programs are open and I am applying to all of them.","I see several programs are open but I will probably not apply to any."
"I know there is a perfect photo spot and I am hiking there at dawn.","I know there is a perfect photo spot but I do not feel motivated to go."
"I see the lecture is next Tuesday and I am rearranging my schedule to attend.","I see the lecture is next Tuesday but I will probably not go."
"I know the garden center has seeds and I am planting them this weekend.","I know the garden center has seeds but I do not feel like gardening."
"I see the painting is on display and I am going to the museum today.","I see the painting is on display but I have no desire to visit."
"I heard the orchestra is performing and I am getting tickets immediately.","I heard the orchestra is performing but I do not care enough to go."
"I know the car needs repair and I am fixing it myself this weekend.","I know the car needs repair but I cannot motivate myself to work on it."
"I see the book signing is tomorrow and I am going to be first in line.","I see the book signing is tomorrow but I do not feel like going."
"I know the phone call needs to happen and I am dialing right now.","I know the phone call needs to happen but I keep putting it off."
"I see the puzzle on the table and I am determined to finish it tonight.","I see the puzzle on the table but I do not feel like working on it."
"I heard about the cave and I am exploring it this weekend.","I heard about the cave but I have no interest in visiting."
"I know there is an event tonight and I am getting ready right now.","I know there is an event tonight but I would rather just stay in."
"I see the vineyard offers tastings and I am driving there this Saturday.","I see the vineyard offers tastings but I do not feel motivated to go."
"I know the speech is coming up and I am rehearsing it over and over.","I know the speech is coming up but I cannot bring myself to practice."
"I heard about the invention idea and I am starting to build a prototype.","I heard about the invention idea but I do not have the drive to work on it."
"I see the lake is nearby and I am going for a swim right now.","I see the lake is nearby but I do not feel like swimming."
"I know my goal is set and I am working toward it every single day.","I know my goal is set but I have no motivation to work on it."
"I see the weekend volunteer shift is open and I am taking it.","I see the weekend volunteer shift is open but I will not sign up."
"I know their birthday is coming and I am planning the perfect surprise.","I know their birthday is coming but I do not feel like planning anything."
"I see the instrument in the corner and I am going to practice for hours.","I see the instrument in the corner but I have no urge to practice."
"I know the summit is reachable and I am going to climb it tomorrow.","I know the summit is reachable but I do not have the energy to try."
"I heard about the craft supplies and I am starting a new project tonight.","I heard about the craft supplies but I do not feel inspired to create anything."
"I see the sunrise is at six and I am waking up early to watch it.","I see the sunrise is at six but I would rather sleep in."
"I know the experience is available and I am booking it immediately.","I know the experience is available but I am not motivated enough to book it."
"I see the canvas is ready and I am going to paint something beautiful today.","I see the canvas is ready but I do not feel like painting."
"I know the recipe needs practice and I am cooking it again tonight.","I know the recipe needs practice but I cannot bring myself to cook."
"I see the race is coming up and I am training harder than ever.","I see the race is coming up but I do not feel like training."
"I heard they need help and I am going over there right now.","I heard they need help but I do not feel like getting involved."
"I know the performance is next week and I am preparing every day.","I know the performance is next week but I have no motivation to prepare."
"I see the items on my list and I am checking them off one by one.","I see the items on my list but I do not feel like doing any of them."
"I know the person is waiting and I am heading there as fast as I can.","I know the person is waiting but I do not feel any urgency to go."
"I see the art supplies are out and I am starting to create right now.","I see the art supplies are out but I have no desire to make anything."
"I know the cruise is available and I am reserving my spot today.","I know the cruise is available but I do not feel like booking it."
