tier,run,id,expression,correct_answer,response,parsed_answer,correct,parse_failed
baseline,1,1,(10 * 10) + 148,248,1148,1148,False,False
baseline,1,2,(11 * 10) + 155,265,265,265,True,False
baseline,1,3,(10 * 10) + 185,285,295,295,False,False
baseline,1,4,(10 * 12) + 143,263,167,167,False,False
baseline,1,5,(15 * 14) + 181,391,259,259,False,False
baseline,1,6,(13 * 15) + 133,328,228,228,False,False
baseline,1,7,(12 * 10) + 124,244,134,134,False,False
baseline,1,8,(15 * 10) + 181,331,191,191,False,False
baseline,1,9,(13 * 10) + 101,231,143,143,False,False
baseline,1,10,(15 * 13) + 100,295,215,215,False,False
baseline,1,11,(13 * 10) + 169,299,189,189,False,False
baseline,1,12,(13 * 12) + 103,259,167,167,False,False
baseline,1,13,(14 * 13) + 168,350,370,370,False,False
baseline,1,14,(10 * 15) + 121,271,271,271,True,False
baseline,1,15,(15 * 15) + 192,417,(15 * 15) + 192 = 348,15,False,False
baseline,1,16,(14 * 11) + 143,297,167,167,False,False
baseline,1,17,(11 * 12) + 133,265,157,157,False,False
baseline,1,18,(12 * 14) + 129,297,189,189,False,False
baseline,1,19,(11 * 13) + 163,306,190,190,False,False
baseline,1,20,(11 * 14) + 181,335,181 + 154 = 335,181,False,False
baseline,1,21,(12 * 15) + 153,333,(12 * 15) + 153 = 213,12,False,False
baseline,1,22,(13 * 10) + 153,283,163,163,False,False
baseline,1,23,(12 * 14) + 177,345,(12 * 14) + 177 = 330,12,False,False
baseline,1,24,(15 * 12) + 131,311,197,197,False,False
baseline,1,25,(14 * 12) + 143,311,181,181,False,False
baseline,1,26,(14 * 10) + 160,300,260,260,False,False
baseline,1,27,(10 * 12) + 193,313,233,233,False,False
baseline,1,28,(10 * 14) + 101,241,151,151,False,False
baseline,1,29,(11 * 12) + 163,295,197,197,False,False
baseline,1,30,(12 * 11) + 166,298,308,308,False,False
baseline,1,31,(14 * 12) + 119,287,199,199,False,False
baseline,1,32,(13 * 10) + 101,231,143,143,False,False
baseline,1,33,(15 * 12) + 123,303,183,183,False,False
baseline,1,34,(13 * 11) + 153,296,153 + 153 = 306,153,False,False
baseline,1,35,(12 * 11) + 160,292,196,196,False,False
baseline,1,36,(14 * 12) + 136,304,196,196,False,False
baseline,1,37,(15 * 12) + 194,374,(15 * 12) + 194 = 344,15,False,False
baseline,1,38,(10 * 11) + 200,310,320,320,False,False
baseline,1,39,(15 * 13) + 107,302,210,210,False,False
baseline,1,40,(13 * 11) + 130,273,154,154,False,False
baseline,1,41,(15 * 13) + 144,339,237,237,False,False
