id,condition,full_prompt,raw_response,n_answers,elapsed_sec
1,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (10 * 10) + 148?
2. What is 2 + 6?
3. What is 25 + 69?
4. What is 18 * 13?

Please give your answer for each question listed above.","1. (10 * 10) + 148 = 248
2. 2 + 6 = 8
3. 25 + 69 = 94
4. 18 * 13 = 234",17,6.09
2,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (11 * 10) + 155?
2. What is 41 + 55?
3. What is 17 * 12?
4. What is 4 + 4?

Please give your answer for each question listed above.","1. (11 * 10) + 155 = 265
2. 41 + 55 = 96
3. 17 * 12 = 204
4. 4 + 4 = 8",17,5.02
3,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (10 * 10) + 185?
2. What is 19 * 11?
3. What is 3 + 2?
4. What is 40 + 66?

Please give your answer for each question listed above.","1. (10 * 10) + 185 = 195
2. 19 * 11 = 209
3. 3 + 2 = 5
4. 40 + 66 = 106",17,4.63
4,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 16 * 14?
2. What is 56 + 50?
3. What is 6 + 8?
4. What is (10 * 12) + 143?

Please give your answer for each question listed above.","1. 16 * 14 = 224
2. 56 + 50 = 106
3. 6 + 8 = 14
4. (10 * 12) + 143 = 263",17,5.01
5,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 2 + 8?
2. What is 77 + 69?
3. What is 20 * 14?
4. What is (15 * 14) + 181?

Please give your answer for each question listed above.","1. 2 + 8 = 10
2. 77 + 69 = 146
3. 20 * 14 = 280
4. (15 * 14) + 181 = 331",17,6.04
6,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 7 + 2?
2. What is 14 * 11?
3. What is (13 * 15) + 133?
4. What is 74 + 68?

Please give your answer for each question listed above.","1. 7 + 2 = 9
2. 14 * 11 = 154
3. (13 * 15) + 133 = 298
4. 74 + 68 = 142",17,4.97
7,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (12 * 10) + 124?
2. What is 66 + 49?
3. What is 18 * 15?
4. What is 8 + 3?

Please give your answer for each question listed above.","1. (12 * 10) + 124 = 244
2. 66 + 49 = 115
3. 18 * 15 = 270
4. 8 + 3 = 11",17,5.32
8,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (15 * 10) + 181?
2. What is 2 + 7?
3. What is 34 + 45?
4. What is 20 * 15?

Please give your answer for each question listed above.","1. (15 * 10) + 181 = 331
2. 2 + 7 = 9
3. 34 + 45 = 79
4. 20 * 15 = 300",17,4.96
9,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 19 * 14?
2. What is 9 + 4?
3. What is (13 * 10) + 101?
4. What is 29 + 54?

Please give your answer for each question listed above.","1. 19 * 14 = 266
2. 9 + 4 = 13
3. (13 * 10) + 101 = 231
4. 29 + 54 = 83",17,4.9
10,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 71 + 42?
2. What is (15 * 13) + 100?
3. What is 16 * 14?
4. What is 2 + 6?

Please give your answer for each question listed above.","1. 71 + 42 = 113
2. (15 * 13) + 100 = 255
3. 16 * 14 = 224
4. 2 + 6 = 8",17,4.83
11,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 12 * 15?
2. What is 25 + 47?
3. What is 7 + 3?
4. What is (13 * 10) + 169?

Please give your answer for each question listed above.","1. 12 * 15 = 180
2. 25 + 47 = 72
3. 7 + 3 = 10
4. (13 * 10) + 169 = 299",17,4.74
12,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 20 * 13?
2. What is 6 + 9?
3. What is (13 * 12) + 103?
4. What is 22 + 68?

Please give your answer for each question listed above.","1. 20 * 13 = 260
2. 6 + 9 = 15
3. (13 * 12) + 103 = 156 + 103 = 259
4. 22 + 68 = 90",19,6.32
13,neutral,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (14 * 13) + 168?
2. What is 62 + 35?
3. What is 4 + 7?
4. What is 13 * 11?

Please give your answer for each question listed above.","1. (14 * 13) + 168 = 274
2. 62 + 35 = 97
3. 4 + 7 = 11
4. 13 * 11 = 143",17,4.83
