ID,Expression,Correct_Answer,Forced_Prompt
1,12 * 3,36,Answer the following question concisely: What is 12 * 3?
2,19 * 2,38,Answer the following question concisely: What is 19 * 2?
3,18 * 6,108,Answer the following question concisely: What is 18 * 6?
4,13 * 5,65,Answer the following question concisely: What is 13 * 5?
5,16 * 6,96,Answer the following question concisely: What is 16 * 6?
6,19 * 6,114,Answer the following question concisely: What is 19 * 6?
7,12 * 5,60,Answer the following question concisely: What is 12 * 5?
8,16 * 7,112,Answer the following question concisely: What is 16 * 7?
9,19 * 5,95,Answer the following question concisely: What is 19 * 5?
10,11 * 5,55,Answer the following question concisely: What is 11 * 5?
11,16 * 5,80,Answer the following question concisely: What is 16 * 5?
12,13 * 5,65,Answer the following question concisely: What is 13 * 5?
13,16 * 5,80,Answer the following question concisely: What is 16 * 5?
14,13 * 4,52,Answer the following question concisely: What is 13 * 4?
15,19 * 2,38,Answer the following question concisely: What is 19 * 2?
16,15 * 8,120,Answer the following question concisely: What is 15 * 8?
17,15 * 5,75,Answer the following question concisely: What is 15 * 5?
18,18 * 2,36,Answer the following question concisely: What is 18 * 2?
19,12 * 3,36,Answer the following question concisely: What is 12 * 3?
20,19 * 4,76,Answer the following question concisely: What is 19 * 4?
21,15 * 8,120,Answer the following question concisely: What is 15 * 8?
22,14 * 3,42,Answer the following question concisely: What is 14 * 3?
23,11 * 3,33,Answer the following question concisely: What is 11 * 3?
24,19 * 5,95,Answer the following question concisely: What is 19 * 5?
25,14 * 9,126,Answer the following question concisely: What is 14 * 9?
26,17 * 8,136,Answer the following question concisely: What is 17 * 8?
27,17 * 7,119,Answer the following question concisely: What is 17 * 7?
28,17 * 4,68,Answer the following question concisely: What is 17 * 4?
29,11 * 2,22,Answer the following question concisely: What is 11 * 2?
30,14 * 8,112,Answer the following question concisely: What is 14 * 8?
31,18 * 6,108,Answer the following question concisely: What is 18 * 6?
32,15 * 5,75,Answer the following question concisely: What is 15 * 5?
33,18 * 4,72,Answer the following question concisely: What is 18 * 4?
34,14 * 8,112,Answer the following question concisely: What is 14 * 8?
35,17 * 7,119,Answer the following question concisely: What is 17 * 7?
36,17 * 4,68,Answer the following question concisely: What is 17 * 4?
37,12 * 3,36,Answer the following question concisely: What is 12 * 3?
38,12 * 5,60,Answer the following question concisely: What is 12 * 5?
39,19 * 6,114,Answer the following question concisely: What is 19 * 6?
40,15 * 6,90,Answer the following question concisely: What is 15 * 6?
41,15 * 2,30,Answer the following question concisely: What is 15 * 2?
42,13 * 6,78,Answer the following question concisely: What is 13 * 6?
43,12 * 4,48,Answer the following question concisely: What is 12 * 4?
44,13 * 2,26,Answer the following question concisely: What is 13 * 2?
45,12 * 7,84,Answer the following question concisely: What is 12 * 7?
46,13 * 8,104,Answer the following question concisely: What is 13 * 8?
47,13 * 3,39,Answer the following question concisely: What is 13 * 3?
48,16 * 6,96,Answer the following question concisely: What is 16 * 6?
49,16 * 6,96,Answer the following question concisely: What is 16 * 6?
50,11 * 3,33,Answer the following question concisely: What is 11 * 3?
51,17 * 7,119,Answer the following question concisely: What is 17 * 7?
52,14 * 6,84,Answer the following question concisely: What is 14 * 6?
53,17 * 3,51,Answer the following question concisely: What is 17 * 3?
54,17 * 7,119,Answer the following question concisely: What is 17 * 7?
55,17 * 4,68,Answer the following question concisely: What is 17 * 4?
56,14 * 8,112,Answer the following question concisely: What is 14 * 8?
57,13 * 3,39,Answer the following question concisely: What is 13 * 3?
58,14 * 6,84,Answer the following question concisely: What is 14 * 6?
59,18 * 3,54,Answer the following question concisely: What is 18 * 3?
60,18 * 8,144,Answer the following question concisely: What is 18 * 8?
61,17 * 5,85,Answer the following question concisely: What is 17 * 5?
62,18 * 4,72,Answer the following question concisely: What is 18 * 4?
63,19 * 8,152,Answer the following question concisely: What is 19 * 8?
64,14 * 6,84,Answer the following question concisely: What is 14 * 6?
65,12 * 6,72,Answer the following question concisely: What is 12 * 6?
66,13 * 5,65,Answer the following question concisely: What is 13 * 5?
67,16 * 9,144,Answer the following question concisely: What is 16 * 9?
68,17 * 9,153,Answer the following question concisely: What is 17 * 9?
69,18 * 5,90,Answer the following question concisely: What is 18 * 5?
70,17 * 4,68,Answer the following question concisely: What is 17 * 4?
71,11 * 3,33,Answer the following question concisely: What is 11 * 3?
72,17 * 7,119,Answer the following question concisely: What is 17 * 7?
73,17 * 6,102,Answer the following question concisely: What is 17 * 6?
74,14 * 3,42,Answer the following question concisely: What is 14 * 3?
75,14 * 4,56,Answer the following question concisely: What is 14 * 4?
76,16 * 4,64,Answer the following question concisely: What is 16 * 4?
77,17 * 8,136,Answer the following question concisely: What is 17 * 8?
78,15 * 3,45,Answer the following question concisely: What is 15 * 3?
79,19 * 7,133,Answer the following question concisely: What is 19 * 7?
80,18 * 4,72,Answer the following question concisely: What is 18 * 4?
81,18 * 8,144,Answer the following question concisely: What is 18 * 8?
82,14 * 9,126,Answer the following question concisely: What is 14 * 9?
83,18 * 5,90,Answer the following question concisely: What is 18 * 5?
84,19 * 5,95,Answer the following question concisely: What is 19 * 5?
85,18 * 9,162,Answer the following question concisely: What is 18 * 9?
86,15 * 7,105,Answer the following question concisely: What is 15 * 7?
87,16 * 9,144,Answer the following question concisely: What is 16 * 9?
88,16 * 3,48,Answer the following question concisely: What is 16 * 3?
89,19 * 6,114,Answer the following question concisely: What is 19 * 6?
90,15 * 2,30,Answer the following question concisely: What is 15 * 2?
91,13 * 9,117,Answer the following question concisely: What is 13 * 9?
92,18 * 7,126,Answer the following question concisely: What is 18 * 7?
93,17 * 9,153,Answer the following question concisely: What is 17 * 9?
94,14 * 3,42,Answer the following question concisely: What is 14 * 3?
95,18 * 9,162,Answer the following question concisely: What is 18 * 9?
96,14 * 5,70,Answer the following question concisely: What is 14 * 5?
97,13 * 2,26,Answer the following question concisely: What is 13 * 2?
98,11 * 5,55,Answer the following question concisely: What is 11 * 5?
99,15 * 5,75,Answer the following question concisely: What is 15 * 5?
100,13 * 3,39,Answer the following question concisely: What is 13 * 3?
