ID,Full_Prompt
1,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 93 + 113? (100 points)
2. What is 2 + 1? (1 point)
3. What is 27 + 25? (10 points)
4. What is 64 + 58? (50 points)

What is your choice and its answer?"
2,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 91 + 83? (100 points)
2. What is 47 + 37? (10 points)
3. What is 52 + 51? (50 points)
4. What is 9 + 2? (1 point)

What is your choice and its answer?"
3,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 149 + 96? (100 points)
2. What is 85 + 62? (50 points)
3. What is 4 + 9? (1 point)
4. What is 48 + 11? (10 points)

What is your choice and its answer?"
4,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 50 + 60? (50 points)
2. What is 47 + 27? (10 points)
3. What is 4 + 8? (1 point)
4. What is 134 + 91? (100 points)

What is your choice and its answer?"
5,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 5 + 3? (1 point)
2. What is 23 + 31? (10 points)
3. What is 56 + 55? (50 points)
4. What is 128 + 76? (100 points)

What is your choice and its answer?"
6,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 6 + 6? (1 point)
2. What is 52 + 79? (50 points)
3. What is 148 + 77? (100 points)
4. What is 48 + 26? (10 points)

What is your choice and its answer?"
7,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 104 + 115? (100 points)
2. What is 45 + 28? (10 points)
3. What is 89 + 73? (50 points)
4. What is 7 + 2? (1 point)

What is your choice and its answer?"
8,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 92 + 94? (100 points)
2. What is 2 + 1? (1 point)
3. What is 24 + 28? (10 points)
4. What is 55 + 64? (50 points)

What is your choice and its answer?"
9,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 73 + 72? (50 points)
2. What is 5 + 8? (1 point)
3. What is 106 + 112? (100 points)
4. What is 33 + 20? (10 points)

What is your choice and its answer?"
10,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 48 + 20? (10 points)
2. What is 100 + 99? (100 points)
3. What is 84 + 65? (50 points)
4. What is 5 + 2? (1 point)

What is your choice and its answer?"
11,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 70 + 53? (50 points)
2. What is 45 + 24? (10 points)
3. What is 7 + 5? (1 point)
4. What is 109 + 122? (100 points)

What is your choice and its answer?"
12,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 54 + 63? (50 points)
2. What is 1 + 6? (1 point)
3. What is 120 + 83? (100 points)
4. What is 35 + 27? (10 points)

What is your choice and its answer?"
13,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 111 + 117? (100 points)
2. What is 39 + 19? (10 points)
3. What is 8 + 7? (1 point)
4. What is 66 + 58? (50 points)

What is your choice and its answer?"
14,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 77 + 87? (50 points)
2. What is 9 + 9? (1 point)
3. What is 26 + 47? (10 points)
4. What is 131 + 93? (100 points)

What is your choice and its answer?"
15,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 4 + 3? (1 point)
2. What is 55 + 53? (50 points)
3. What is 42 + 41? (10 points)
4. What is 94 + 79? (100 points)

What is your choice and its answer?"
16,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 139 + 103? (100 points)
2. What is 48 + 14? (10 points)
3. What is 74 + 74? (50 points)
4. What is 3 + 7? (1 point)

What is your choice and its answer?"
17,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 10 + 17? (10 points)
2. What is 84 + 67? (50 points)
3. What is 5 + 9? (1 point)
4. What is 123 + 77? (100 points)

What is your choice and its answer?"
18,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 144 + 118? (100 points)
2. What is 20 + 39? (10 points)
3. What is 50 + 66? (50 points)
4. What is 5 + 7? (1 point)

What is your choice and its answer?"
19,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 82 + 88? (50 points)
2. What is 16 + 29? (10 points)
3. What is 3 + 9? (1 point)
4. What is 105 + 79? (100 points)

What is your choice and its answer?"
20,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 121 + 101? (100 points)
2. What is 44 + 43? (10 points)
3. What is 50 + 88? (50 points)
4. What is 6 + 3? (1 point)

What is your choice and its answer?"
21,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 110 + 126? (100 points)
2. What is 1 + 2? (1 point)
3. What is 33 + 29? (10 points)
4. What is 65 + 53? (50 points)

What is your choice and its answer?"
22,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 2 + 2? (1 point)
2. What is 41 + 14? (10 points)
3. What is 84 + 58? (50 points)
4. What is 96 + 112? (100 points)

What is your choice and its answer?"
23,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 134 + 83? (100 points)
2. What is 20 + 26? (10 points)
3. What is 8 + 9? (1 point)
4. What is 83 + 88? (50 points)

What is your choice and its answer?"
24,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 9 + 4? (1 point)
2. What is 73 + 78? (50 points)
3. What is 29 + 35? (10 points)
4. What is 146 + 98? (100 points)

What is your choice and its answer?"
25,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 24 + 14? (10 points)
2. What is 71 + 51? (50 points)
3. What is 109 + 107? (100 points)
4. What is 2 + 4? (1 point)

What is your choice and its answer?"
26,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 4 + 1? (1 point)
2. What is 64 + 54? (50 points)
3. What is 84 + 125? (100 points)
4. What is 14 + 13? (10 points)

What is your choice and its answer?"
27,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 42 + 25? (10 points)
2. What is 67 + 81? (50 points)
3. What is 6 + 2? (1 point)
4. What is 107 + 104? (100 points)

What is your choice and its answer?"
28,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 25 + 40? (10 points)
2. What is 3 + 8? (1 point)
3. What is 76 + 62? (50 points)
4. What is 92 + 76? (100 points)

What is your choice and its answer?"
29,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 79 + 53? (50 points)
2. What is 37 + 36? (10 points)
3. What is 7 + 6? (1 point)
4. What is 92 + 73? (100 points)

What is your choice and its answer?"
30,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 148 + 98? (100 points)
2. What is 16 + 25? (10 points)
3. What is 62 + 62? (50 points)
4. What is 7 + 6? (1 point)

What is your choice and its answer?"
31,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 21 + 27? (10 points)
2. What is 79 + 65? (50 points)
3. What is 3 + 7? (1 point)
4. What is 89 + 98? (100 points)

What is your choice and its answer?"
32,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 9 + 2? (1 point)
2. What is 13 + 44? (10 points)
3. What is 50 + 55? (50 points)
4. What is 110 + 80? (100 points)

What is your choice and its answer?"
33,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 101 + 94? (100 points)
2. What is 40 + 23? (10 points)
3. What is 7 + 8? (1 point)
4. What is 75 + 53? (50 points)

What is your choice and its answer?"
34,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 1 + 7? (1 point)
2. What is 142 + 79? (100 points)
3. What is 68 + 77? (50 points)
4. What is 26 + 39? (10 points)

What is your choice and its answer?"
35,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 23 + 13? (10 points)
2. What is 87 + 84? (50 points)
3. What is 87 + 117? (100 points)
4. What is 4 + 5? (1 point)

What is your choice and its answer?"
36,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 147 + 80? (100 points)
2. What is 13 + 47? (10 points)
3. What is 6 + 1? (1 point)
4. What is 80 + 82? (50 points)

What is your choice and its answer?"
37,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 15 + 21? (10 points)
2. What is 88 + 113? (100 points)
3. What is 54 + 88? (50 points)
4. What is 1 + 9? (1 point)

What is your choice and its answer?"
38,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 65 + 87? (50 points)
2. What is 85 + 109? (100 points)
3. What is 17 + 46? (10 points)
4. What is 4 + 7? (1 point)

What is your choice and its answer?"
39,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 47 + 46? (10 points)
2. What is 83 + 70? (50 points)
3. What is 113 + 83? (100 points)
4. What is 2 + 7? (1 point)

What is your choice and its answer?"
40,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 6 + 4? (1 point)
2. What is 58 + 69? (50 points)
3. What is 138 + 90? (100 points)
4. What is 26 + 35? (10 points)

What is your choice and its answer?"
41,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 89 + 104? (100 points)
2. What is 86 + 56? (50 points)
3. What is 2 + 1? (1 point)
4. What is 39 + 49? (10 points)

What is your choice and its answer?"
42,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 4 + 9? (1 point)
2. What is 111 + 93? (100 points)
3. What is 26 + 18? (10 points)
4. What is 72 + 54? (50 points)

What is your choice and its answer?"
43,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 69 + 89? (50 points)
2. What is 147 + 70? (100 points)
3. What is 38 + 44? (10 points)
4. What is 5 + 3? (1 point)

What is your choice and its answer?"
44,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 66 + 57? (50 points)
2. What is 9 + 5? (1 point)
3. What is 93 + 117? (100 points)
4. What is 16 + 18? (10 points)

What is your choice and its answer?"
45,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 88 + 63? (50 points)
2. What is 9 + 3? (1 point)
3. What is 123 + 83? (100 points)
4. What is 27 + 28? (10 points)

What is your choice and its answer?"
46,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 134 + 123? (100 points)
2. What is 5 + 9? (1 point)
3. What is 53 + 55? (50 points)
4. What is 41 + 26? (10 points)

What is your choice and its answer?"
47,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 5 + 1? (1 point)
2. What is 58 + 66? (50 points)
3. What is 100 + 117? (100 points)
4. What is 10 + 31? (10 points)

What is your choice and its answer?"
48,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 8 + 9? (1 point)
2. What is 89 + 130? (100 points)
3. What is 37 + 45? (10 points)
4. What is 50 + 57? (50 points)

What is your choice and its answer?"
49,"You may answer only one of the following questions.
Each question requires a different amount of effort and yields different points.
Choose one question and answer it carefully.

1. What is 12 + 33? (10 points)
2. What is 3 + 9? (1 point)
3. What is 98 + 97? (100 points)
4. What is 87 + 85? (50 points)

What is your choice and its answer?"
