ID,Source_ID,Slot,Question_Base,Q_Length,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,3,1,A rectangle has an area of 360 square centimeters. It is 20 centimeters long. What is its perimeter?,100,A rectangle has an area of 360 square centimeters. It is 20 centimeters long. What is its perimeter?,You will receive a great reward for a correct answer. A rectangle has an area of 360 square centimeters. It is 20 centimeters long. What is its perimeter?,You will receive 100 US dollars for a correct answer. A rectangle has an area of 360 square centimeters. It is 20 centimeters long. What is its perimeter?
2,3,2,Lucy put sixty-eight shells in her bucket. She found some more shells and now she has eighty-nine shells. How many more did she find?,133,Lucy put sixty-eight shells in her bucket. She found some more shells and now she has eighty-nine shells. How many more did she find?,You will receive a great reward for a correct answer. Lucy put sixty-eight shells in her bucket. She found some more shells and now she has eighty-nine shells. How many more did she find?,You will receive 100 US dollars for a correct answer. Lucy put sixty-eight shells in her bucket. She found some more shells and now she has eighty-nine shells. How many more did she find?
3,5,1,A farmer planted twenty seeds on Wednesday and another two seeds on Thursday. How many seeds did he plant total?,112,A farmer planted twenty seeds on Wednesday and another two seeds on Thursday. How many seeds did he plant total?,You will receive a great reward for a correct answer. A farmer planted twenty seeds on Wednesday and another two seeds on Thursday. How many seeds did he plant total?,You will receive 100 US dollars for a correct answer. A farmer planted twenty seeds on Wednesday and another two seeds on Thursday. How many seeds did he plant total?
4,7,4,Mrs. Hilt has 50 cents. A pencil costs 5 cents. How many pencils can she buy with the money she has?,100,Mrs. Hilt has 50 cents. A pencil costs 5 cents. How many pencils can she buy with the money she has?,You will receive a great reward for a correct answer. Mrs. Hilt has 50 cents. A pencil costs 5 cents. How many pencils can she buy with the money she has?,You will receive 100 US dollars for a correct answer. Mrs. Hilt has 50 cents. A pencil costs 5 cents. How many pencils can she buy with the money she has?
5,8,4,"If Carl has a total of 89 stamps and Kevin has 57, how many more stamps does Carl have more than Kevin?",103,"If Carl has a total of 89 stamps and Kevin has 57, how many more stamps does Carl have more than Kevin?","You will receive a great reward for a correct answer. If Carl has a total of 89 stamps and Kevin has 57, how many more stamps does Carl have more than Kevin?","You will receive 100 US dollars for a correct answer. If Carl has a total of 89 stamps and Kevin has 57, how many more stamps does Carl have more than Kevin?"
6,9,2,You have 7 balloons and your friend has 5 balloons. What's the difference of the number of your balloons and your friend's balloons?,132,You have 7 balloons and your friend has 5 balloons. What's the difference of the number of your balloons and your friend's balloons?,You will receive a great reward for a correct answer. You have 7 balloons and your friend has 5 balloons. What's the difference of the number of your balloons and your friend's balloons?,You will receive 100 US dollars for a correct answer. You have 7 balloons and your friend has 5 balloons. What's the difference of the number of your balloons and your friend's balloons?
7,10,2,There were fifty-eight people on the train. At the next stop forty-five people got off. How many people are there on the train now?,131,There were fifty-eight people on the train. At the next stop forty-five people got off. How many people are there on the train now?,You will receive a great reward for a correct answer. There were fifty-eight people on the train. At the next stop forty-five people got off. How many people are there on the train now?,You will receive 100 US dollars for a correct answer. There were fifty-eight people on the train. At the next stop forty-five people got off. How many people are there on the train now?
8,11,2,"On a table there were 2 green apples, 3 red apples and 14 yellow apples. How many apples were on the table?",107,"On a table there were 2 green apples, 3 red apples and 14 yellow apples. How many apples were on the table?","You will receive a great reward for a correct answer. On a table there were 2 green apples, 3 red apples and 14 yellow apples. How many apples were on the table?","You will receive 100 US dollars for a correct answer. On a table there were 2 green apples, 3 red apples and 14 yellow apples. How many apples were on the table?"
9,11,3,There are sixty-four pigs in the barn. Some more come to join them. Now there are eighty-six pigs. How many pigs came to join them?,131,There are sixty-four pigs in the barn. Some more come to join them. Now there are eighty-six pigs. How many pigs came to join them?,You will receive a great reward for a correct answer. There are sixty-four pigs in the barn. Some more come to join them. Now there are eighty-six pigs. How many pigs came to join them?,You will receive 100 US dollars for a correct answer. There are sixty-four pigs in the barn. Some more come to join them. Now there are eighty-six pigs. How many pigs came to join them?
10,12,1,"A library buys 4,305 new books. If it wants to shelve them equally onto 83 shelves, how many more new books should be purchased?",128,"A library buys 4,305 new books. If it wants to shelve them equally onto 83 shelves, how many more new books should be purchased?","You will receive a great reward for a correct answer. A library buys 4,305 new books. If it wants to shelve them equally onto 83 shelves, how many more new books should be purchased?","You will receive 100 US dollars for a correct answer. A library buys 4,305 new books. If it wants to shelve them equally onto 83 shelves, how many more new books should be purchased?"
