ID,Full_Prompt
1,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (10 * 10) + 148?
2. What is 2 + 6?
3. What is 25 + 69?
4. What is 18 * 13?

Please give your answer for each question listed above."
2,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (11 * 10) + 155?
2. What is 41 + 55?
3. What is 17 * 12?
4. What is 4 + 4?

Please give your answer for each question listed above."
3,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (10 * 10) + 185?
2. What is 19 * 11?
3. What is 3 + 2?
4. What is 40 + 66?

Please give your answer for each question listed above."
4,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 16 * 14?
2. What is 56 + 50?
3. What is 6 + 8?
4. What is (10 * 12) + 143?

Please give your answer for each question listed above."
5,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 2 + 8?
2. What is 77 + 69?
3. What is 20 * 14?
4. What is (15 * 14) + 181?

Please give your answer for each question listed above."
6,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 7 + 2?
2. What is 14 * 11?
3. What is (13 * 15) + 133?
4. What is 74 + 68?

Please give your answer for each question listed above."
7,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (12 * 10) + 124?
2. What is 66 + 49?
3. What is 18 * 15?
4. What is 8 + 3?

Please give your answer for each question listed above."
8,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (15 * 10) + 181?
2. What is 2 + 7?
3. What is 34 + 45?
4. What is 20 * 15?

Please give your answer for each question listed above."
9,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 19 * 14?
2. What is 9 + 4?
3. What is (13 * 10) + 101?
4. What is 29 + 54?

Please give your answer for each question listed above."
10,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 71 + 42?
2. What is (15 * 13) + 100?
3. What is 16 * 14?
4. What is 2 + 6?

Please give your answer for each question listed above."
11,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 12 * 15?
2. What is 25 + 47?
3. What is 7 + 3?
4. What is (13 * 10) + 169?

Please give your answer for each question listed above."
12,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 20 * 13?
2. What is 6 + 9?
3. What is (13 * 12) + 103?
4. What is 22 + 68?

Please give your answer for each question listed above."
13,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is (14 * 13) + 168?
2. What is 62 + 35?
3. What is 4 + 7?
4. What is 13 * 11?

Please give your answer for each question listed above."
14,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 17 * 15?
2. What is 8 + 7?
3. What is 28 + 54?
4. What is (10 * 15) + 121?

Please give your answer for each question listed above."
15,"The following four math questions require your answers.
The questions have no rewards or points and are completely equal in their importance.
Carefully answer each of the four math questions listed below.

1. What is 4 + 9?
2. What is 17 * 14?
3. What is 62 + 21?
4. What is (15 * 15) + 192?

Please give your answer for each question listed above."
